method,episodes,generated_tokens,hallucinated_candidates_per_decision,injected_failure_recovery_rate,mean_model_calls_per_decision,mean_planner_latency_ms,mean_progress,mean_search_nodes_per_decision,mean_steps,next_subtask_accuracy,p95_episode_mean_latency_ms,repeated_action_rate,safety_fallback_rate,task_success_rate,ttc_route_rate,valid_selection_rate
adaptive_ttc,30000,41346996,0.0,1.0,3.6859191749119797,0.8280265260606475,1.0,11.303051475976401,9.779966666666667,0.9942535591464183,2.8571212728407276,0.06199066799818677,7.498321398505107e-05,1.0,0.44062522367151896,1.0
best_of_n,30000,14083680,0.0,1.0,1.0,0.2647099675176466,1.0,4.0,9.780333333333333,0.9698476534542109,0.5104888332425617,0.06237347057019188,0.0001431444054394874,1.0,0.0,1.0
plan_once,30000,3520608,0.0,1.0,1.0,0.04141288414491628,1.0,1.0,9.779466666666666,0.9468035066670303,0.10975974987559312,0.06150301311591634,0.17143743353420773,1.0,0.0,1.0
recursive,30000,9499788,0.0,1.0,2.6983373326425437,0.06831980652695432,1.0,2.6983373326425437,9.779466666666666,0.9468035066670303,0.13714674999694884,0.06150301311591634,0.17143743353420773,1.0,0.0,1.0
ttc,30000,85350288,0.0,1.0,6.06035023380731,1.6505558820851811,1.0,24.24140093522924,9.780133333333334,0.9943252307398672,3.3492269999442215,0.06214298373573639,0.00014314733268803426,1.0,1.0,1.0
