method,episodes,generated_tokens,hallucinated_candidates_per_decision,injected_failure_recovery_rate,mean_model_calls_per_decision,mean_planner_latency_ms,mean_progress,mean_search_nodes_per_decision,mean_steps,next_subtask_accuracy,p95_episode_mean_latency_ms,repeated_action_rate,safety_fallback_rate,task_success_rate,ttc_route_rate,valid_selection_rate
adaptive_ttc,6000,9385872,0.0,1.0,4.222396428023655,0.7707141700534221,1.0,13.329402341553196,9.779833333333332,0.9855144089026738,2.1646590910015884,0.06046456142742719,0.0018916477785920005,1.0,0.5601833705414203,1.0
best_of_n,6000,2815728,0.0,1.0,1.0,0.23444147979860436,1.0,4.0,9.776833333333334,0.9534614138865686,0.48066681814485823,0.06211963655580369,0.0006136956410562384,1.0,0.0,1.0
plan_once,6000,703872,0.0,1.0,1.0,0.057547051304867744,1.0,1.0,9.776,0.9163768412438625,0.1656740001075937,0.060914484451718494,0.27763570649208946,1.0,0.0,1.0
recursive,6000,1904376,0.0,1.0,2.705571467539553,0.08056482402936424,1.0,2.705571467539553,9.776,0.9163768412438625,0.17499618165443695,0.060914484451718494,0.27763570649208946,1.0,0.0,1.0
ttc,6000,16617648,0.0,1.0,5.899812542603954,1.1296988403516057,1.0,23.599250170415814,9.78,0.9893490115882754,1.941806999942249,0.0613667348329925,0.0005623721881390593,1.0,1.0,1.0
