# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    115     46      -     85     52      0      0      0      0  13801   2565   5445     32      0 
    0    112     46      -     85     52      0      0      0      0  13801   2565   6039     32      0 
    0    118     48      -     96     30      0      0      0      0  13801   2572   6039     32      0 
    0    124     46      -     86     53      0      0      0      0  13801   2565   6039     32      0 
    0    115     46      -     85     52      0      0      0      0  13801   2572   6571     32      0 
    0    128     47      -     98     29      0      0      0      0  13801   2565   6571     32      0 
    0    123     46      -     85     52      0      0      0      0  13801   2565   6571     32      0 
    0    123     46      -     85     53      0      0      0      0  13801   2565   6571     32      0 
    0    117     49      -     86     53      0      0      0      0  13801   2572   6571     32      0 
    0    133     49      -     88     44      0      0      0      0  13801   2565   6571     32      0 
    0    120     45      -     84     52      0      0      0      0  13801   2565   6571     32      0 
    0    113     45      -     85     52      0      0      0      0  13801   2565   6571     32      0 
    0    116     50      -     86     50      0      0      0      0  13801   2565   6571     32      0 
    0    129     47      -     85     52      0      0      0      0  13801   2565   6571     32      0 
    0    127     47      -     86     53      0      0      0      0  13801   2565   6571     32      0 
    0    130     51      -     88     45      0      0      0      0  13801   2565   6571     32      0 
    0    130     47      -     86     53      0      0      0      0  13801   2565   6571     32      0 
    0    113     46      -    100      3      0      0      0      0  13801   2565   6571     32      0 
    0    122     48      -     95     31      0      0      0      0  13801   2565   6571     32      0 
    0    125     46      -     85     52      0      0      0      0  13801   2565   6571     32      0 
    0    127     47      -     86     53      0      0      0      0  13801   2565   6571     32      0 
    0    114     45      -     96     17      0      0      0      0  13801   2565   6571     32      0 
    0    122     47      -     86     53      0      0      0      0  13801   2565   6571     32      0 
    0    125     47      -     85     53      0      0      0      0  13801   2565   6571     32      0 
    0    123     47      -     95     38      0      0      0      0  13801   2565   6571     32      0 
    0    134     47      -     88     48      0      0      0      0  13801   2565   6571     32      0 
    0    132     47      -     85     52      0      0      0      0  13801   2565   6571     32      0 
    0    132     47      -     85     53      0      0      0      0  13801   2565   6571     32      0 
    0    134     48      -     82     56      0      0      0      0  13801   2565   6571     32      0 
    0    122     47      -     85     52      0      0      0      0  13801   2565   6571     32      0 
    0    112     48      -     82     56      0      0      0      0  13801   2587   6571     32      0 
    0    140     48      -     83     56      0      0      0      0  13801   2565   6571     32      0 
    0    128     48      -     83     56      0      0      0      0  13801   2565   6571     32      0 
    0    117     47      -     85     51      0      0      0      0  13801   2565   6571     32      0 
    0    108     48      -    100      1      0      0      0      0  13801   2565   6571     32      0 
    0    128     48      -     93     23      0      0      0      0  13801   2572   6571     32      0 
    0    131     47      -     86     53      0      0      0      0  13801   2565   6571     32      0 
    0    129     47      -     91     43      0      0      0      0  13801   2565   6571     32      0 
    0    124     47      -     86     53      0      0      0      0  13801   2565   6571     32      0 
    0    121     47      -     87     48      0      0      0      0  13801   2572   6571     32      0 
    0    123     47      -     85     53      0      0      0      0  13801   2565   6571     32      0 
    0    126     51      -    100      0      0      0      0      0  13801   2565   6571     32      0 
    0    136     48      -     83     56      0      0      0      0  13801   2565   6571     32      0 
    0    117     47      -     85     52      0      0      0      0  13801   2565   6571     32      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    122     48      -     92     42      0      0      0      0  13801   2565   6571     32      0 
    0    127     47      -     86     53      0      0      0      0  13801   2565   6571     32      0 
    0    116     47      -     86     53      0      0      0      0  13801   2587   6571     32      0 
    0    131     47      -     86     53      0      0      0      0  13801   2565   6571     32      0 
    0    139     47      -     85     52      0      0      0      0  13801   2565   6571     32      0 
    0     85     44      -      0      0      0      0      0      0  13801   2565    390     30      0 
    0     41     43      -      0      0      0      0      0      0  13801   2565    390     30      0 
    0     28     42      -      0      0      0      0      0      0   7001    480    390     30      0 
    0     26     42      -      0      0      0      0      0      0   7001    480    390     30      0 
    0     25     42      -      0      0      0      0      0      0   7001    300    390     30      0 
    0     25     42      -      0      0      0      0      0      0   7001    187    390     30      0 
    0     25     42      -      0      0      0      0      0      0   7001    180    390     30      0 
    0     25     41      -      0      0      0      0      0      0   7001    180    390     30      0 
    0     19     41      -      0      0      0      0      0      0    810    180    390     30      0 
    0     12     41      -      0      0      0      0      0      0    405    180    390     30      0 
    0      9     41      -      0      0      0      0      0      0    405    172    390     30      0 
    0      9     41      -      0      0      0      0      0      0    405    180    390     30      0 
    0      9     40      -      0      0      0      0      0      0    405    180    390     30      0 
    0      9     40      -      0      0      0      0      0      0    405    180    390     30      0 
    0      9     40      -      0      0      0      0      0      0    405    180    390     30      0 
