# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    143     50      -     83     56      0      0      0      0  13801   2565   5471     32      0 
    0    143     51      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    142     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    142     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    123     48      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    140     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    133     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    142     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    129     50      -    100      0      0      0      0      0  13801   2565   5471     32      0 
    0    136     48      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    131     50      -     82     57      0      0      0      0  13801   2565   5471     32      0 
    0    137     48      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    131     50      -     88     40      0      0      0      0  13801   2565   5471     32      0 
    0    133     50      -     97      7      0      0      0      0  13801   2565   5471     32      0 
    0    133     50      -     98      8      0      0      0      0  13801   2565   5471     32      0 
    0    134     50      -     89     40      0      0      0      0  13801   2565   5471     32      0 
    0    133     50      -    100      0      0      0      0      0  13801   2565   5471     32      0 
    0    132     50      -     92     27      0      0      0      0  13801   2580   5471     32      0 
    0    132     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    133     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    131     50      -     94     22      0      0      0      0  13801   2565   5471     32      0 
    0    144     50      -     83     53      0      0      0      0  13801   2565   5471     32      0 
    0    132     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    143     51      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    134     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    144     50      -     84     55      0      0      0      0  13801   2565   5471     32      0 
    0    134     50      -     88     42      0      0      0      0  13801   2565   5471     32      0 
    0    131     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    142     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    133     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    141     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    130     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    131     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    130     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    143     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    130     50      -     83     57      0      0      0      0  13801   2595   5471     32      0 
    0    132     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    133     47      -     98      3      0      0      0      0  13801   2565   5471     32      0 
    0    143     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    130     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    132     51      -     88     41      0      0      0      0  13801   2565   5471     32      0 
    0    132     47      -     97      9      0      0      0      0  13801   2565   5471     32      0 
    0    143     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    131     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    129     50      -     83     57      0      0      0      0  13801   2595   5471     32      0 
    0    133     50      -     84     56      0      0      0      0  13801   2565   5471     32      0 
    0    133     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    131     50      -     88     45      0      0      0      0  13801   2565   5471     32      0 
    0    131     50      -     86     49      0      0      0      0  13801   2565   5471     32      0 
    0    144     51      -     85     51      0      0      0      0  13801   2565   5471     32      0 
    0    144     51      -     84     55      0      0      0      0  13801   2565   5471     32      0 
    0    143     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    143     51      -     87     47      0      0      0      0  13801   2565   5471     32      0 
    0    144     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    132     50      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    144     51      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    144     51      -     83     57      0      0      0      0  13801   2565   5471     32      0 
    0    144     51      -     84     55      0      0      0      0  13801   2565   5471     32      0 
    0    146     51      -     89     41      0      0      0      0  13801   2565   5471     32      0 
    0    145     51      -     84     58      0      0      0      0  13801   2565   5471     32      0 
    0    145     51      -     84     58      0      0      0      0  13801   2565   5471     32      0 
    0    143     51      -     84     58      0      0      0      0  13801   2565   5471     32      0 
    0    134     51      -     83     58      0      0      0      0  13801   2565   5471     32      0 
    0    146     51      -     86     48      0      0      0      0  13801   2565   5471     32      0 
    0    147     51      -     85     55      0      0      0      0  13801   2565   5471     32      0 
    0    144     49      -     44     20      0      0      0      0  13801   2565   5473     32      0 
    0    111     48      -     98      9      0      0      0      0  13801   2565   6049     32      0 
    0    124     49      -     85     53      0      0      0      0  13801   2565   6049     32      0 
    0    132     49      -     86     53      0      0      0      0  13801   2565   6049     32      0 
    0    128     49      -     86     53      0      0      0      0  13801   2565   6237     32      0 
