timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB]
2026/09/13 12:43:38.379, 0 %, 0 %, 37.30 W, 611 MiB
2026/09/13 12:43:39.381, 2 %, 0 %, 42.65 W, 662 MiB
2026/09/13 12:43:40.381, 4 %, 1 %, 44.77 W, 633 MiB
2026/09/13 12:43:41.381, 7 %, 3 %, 44.70 W, 1089 MiB
2026/09/13 12:43:42.381, 2 %, 0 %, 43.58 W, 1129 MiB
2026/09/13 12:43:43.381, 0 %, 0 %, 41.20 W, 1102 MiB
2026/09/13 12:43:44.382, 4 %, 1 %, 43.18 W, 1401 MiB
2026/09/13 12:43:45.382, 1 %, 0 %, 45.18 W, 2137 MiB
2026/09/13 12:43:46.382, 2 %, 0 %, 42.72 W, 2142 MiB
2026/09/13 12:43:47.382, 2 %, 0 %, 45.36 W, 2134 MiB
2026/09/13 12:43:48.382, 1 %, 0 %, 44.84 W, 2126 MiB
2026/09/13 12:43:49.383, 1 %, 0 %, 43.61 W, 3129 MiB
2026/09/13 12:43:50.383, 2 %, 0 %, 44.15 W, 3774 MiB
2026/09/13 12:43:51.383, 1 %, 0 %, 42.93 W, 4789 MiB
2026/09/13 12:43:52.383, 1 %, 0 %, 50.08 W, 5846 MiB
2026/09/13 12:43:53.383, 1 %, 0 %, 53.83 W, 5849 MiB
2026/09/13 12:43:54.384, 1 %, 0 %, 44.77 W, 5777 MiB
2026/09/13 12:43:55.384, 1 %, 0 %, 44.01 W, 5918 MiB
2026/09/13 12:43:56.384, 1 %, 0 %, 42.56 W, 6358 MiB
2026/09/13 12:43:57.384, 20 %, 1 %, 43.81 W, 6364 MiB
2026/09/13 12:43:58.384, 43 %, 4 %, 54.69 W, 6383 MiB
2026/09/13 12:43:59.384, 36 %, 3 %, 61.87 W, 6371 MiB
2026/09/13 12:44:00.385, 42 %, 3 %, 61.39 W, 6371 MiB
2026/09/13 12:44:01.385, 41 %, 4 %, 62.21 W, 6371 MiB
2026/09/13 12:44:02.385, 46 %, 2 %, 61.68 W, 6371 MiB
2026/09/13 12:44:03.386, 40 %, 4 %, 62.01 W, 6371 MiB
2026/09/13 12:44:04.386, 15 %, 1 %, 62.19 W, 6364 MiB
2026/09/13 12:44:05.386, 1 %, 0 %, 62.63 W, 6364 MiB
2026/09/13 12:44:06.386, 27 %, 2 %, 62.15 W, 6406 MiB
2026/09/13 12:44:07.386, 31 %, 4 %, 61.70 W, 6406 MiB
2026/09/13 12:44:08.386, 31 %, 4 %, 61.52 W, 6414 MiB
2026/09/13 12:44:09.387, 43 %, 5 %, 61.50 W, 6449 MiB
2026/09/13 12:44:10.387, 46 %, 3 %, 62.64 W, 6423 MiB
2026/09/13 12:44:11.387, 40 %, 4 %, 61.91 W, 6408 MiB
2026/09/13 12:44:12.387, 48 %, 3 %, 62.26 W, 6397 MiB
2026/09/13 12:44:13.387, 45 %, 4 %, 62.37 W, 6393 MiB
2026/09/13 12:44:14.388, 16 %, 1 %, 61.86 W, 6393 MiB
2026/09/13 12:44:15.388, 1 %, 0 %, 62.00 W, 6383 MiB
2026/09/13 12:44:16.388, 9 %, 1 %, 63.18 W, 6384 MiB
2026/09/13 12:44:17.388, 45 %, 3 %, 62.27 W, 6384 MiB
2026/09/13 12:44:18.388, 44 %, 5 %, 62.44 W, 6384 MiB
2026/09/13 12:44:19.388, 40 %, 3 %, 62.63 W, 6369 MiB
2026/09/13 12:44:20.388, 48 %, 5 %, 62.61 W, 6401 MiB
2026/09/13 12:44:21.389, 45 %, 4 %, 63.00 W, 6352 MiB
2026/09/13 12:44:22.389, 47 %, 4 %, 63.22 W, 6443 MiB
2026/09/13 12:44:23.389, 42 %, 5 %, 63.13 W, 6441 MiB
2026/09/13 12:44:24.389, 45 %, 5 %, 62.80 W, 6399 MiB
2026/09/13 12:44:25.389, 2 %, 0 %, 63.32 W, 6397 MiB
2026/09/13 12:44:26.389, 1 %, 0 %, 63.01 W, 6395 MiB
2026/09/13 12:44:27.389, 1 %, 0 %, 63.07 W, 6396 MiB
2026/09/13 12:44:28.389, 32 %, 2 %, 63.33 W, 6396 MiB
2026/09/13 12:44:29.390, 44 %, 5 %, 62.44 W, 6393 MiB
2026/09/13 12:44:30.390, 44 %, 2 %, 61.55 W, 6370 MiB
2026/09/13 12:44:31.390, 39 %, 4 %, 62.13 W, 6390 MiB
2026/09/13 12:44:32.390, 46 %, 4 %, 62.16 W, 6387 MiB
2026/09/13 12:44:33.390, 47 %, 3 %, 61.59 W, 6385 MiB
2026/09/13 12:44:34.390, 43 %, 4 %, 62.67 W, 6385 MiB
2026/09/13 12:44:35.391, 46 %, 2 %, 61.75 W, 6385 MiB
2026/09/13 12:44:36.391, 18 %, 1 %, 62.03 W, 6385 MiB
2026/09/13 12:44:37.391, 1 %, 0 %, 62.89 W, 6385 MiB
2026/09/13 12:44:38.391, 2 %, 0 %, 62.04 W, 6385 MiB
2026/09/13 12:44:39.391, 50 %, 2 %, 62.91 W, 6385 MiB
2026/09/13 12:44:40.391, 44 %, 4 %, 62.51 W, 6385 MiB
2026/09/13 12:44:41.391, 44 %, 3 %, 61.84 W, 6385 MiB
2026/09/13 12:44:42.391, 42 %, 4 %, 62.78 W, 6365 MiB
2026/09/13 12:44:43.392, 43 %, 4 %, 63.03 W, 6385 MiB
2026/09/13 12:44:44.392, 38 %, 4 %, 62.56 W, 6385 MiB
2026/09/13 12:44:45.392, 45 %, 3 %, 62.62 W, 6361 MiB
2026/09/13 12:44:46.392, 44 %, 4 %, 62.80 W, 6361 MiB
2026/09/13 12:44:47.392, 46 %, 3 %, 62.24 W, 6361 MiB
2026/09/13 12:44:48.393, 44 %, 4 %, 62.34 W, 6361 MiB
2026/09/13 12:44:49.393, 47 %, 3 %, 62.49 W, 6361 MiB
2026/09/13 12:44:50.393, 39 %, 3 %, 62.35 W, 6377 MiB
2026/09/13 12:44:51.393, 44 %, 4 %, 63.04 W, 6377 MiB
2026/09/13 12:44:52.393, 20 %, 3 %, 62.89 W, 6377 MiB
2026/09/13 12:44:53.393, 8 %, 0 %, 62.35 W, 6377 MiB
2026/09/13 12:44:54.393, 1 %, 0 %, 63.08 W, 6373 MiB
2026/09/13 12:44:55.394, 1 %, 0 %, 62.20 W, 6370 MiB
2026/09/13 12:44:56.394, 2 %, 0 %, 62.15 W, 6370 MiB
2026/09/13 12:44:57.394, 34 %, 2 %, 63.14 W, 6363 MiB
2026/09/13 12:44:58.394, 37 %, 3 %, 62.62 W, 6363 MiB
2026/09/13 12:44:59.394, 43 %, 4 %, 62.92 W, 6381 MiB
2026/09/13 12:45:00.394, 41 %, 5 %, 63.23 W, 6377 MiB
2026/09/13 12:45:01.394, 47 %, 3 %, 62.96 W, 6355 MiB
2026/09/13 12:45:02.394, 39 %, 4 %, 63.35 W, 6372 MiB
2026/09/13 12:45:03.395, 45 %, 4 %, 63.20 W, 6372 MiB
2026/09/13 12:45:04.395, 43 %, 6 %, 63.45 W, 6364 MiB
2026/09/13 12:45:05.395, 44 %, 5 %, 63.46 W, 6364 MiB
2026/09/13 12:45:06.395, 41 %, 5 %, 63.13 W, 6364 MiB
2026/09/13 12:45:07.395, 41 %, 5 %, 63.22 W, 6364 MiB
2026/09/13 12:45:08.395, 46 %, 3 %, 63.24 W, 6364 MiB
2026/09/13 12:45:09.396, 39 %, 4 %, 63.41 W, 6364 MiB
2026/09/13 12:45:10.396, 23 %, 3 %, 63.20 W, 6364 MiB
2026/09/13 12:45:11.396, 14 %, 2 %, 63.07 W, 6364 MiB
2026/09/13 12:45:12.396, 2 %, 0 %, 63.81 W, 6364 MiB
2026/09/13 12:45:13.396, 1 %, 0 %, 63.00 W, 6364 MiB
2026/09/13 12:45:14.396, 4 %, 0 %, 63.38 W, 6356 MiB
2026/09/13 12:45:15.396, 18 %, 2 %, 63.97 W, 6332 MiB
2026/09/13 12:45:16.397, 40 %, 3 %, 63.58 W, 6332 MiB
2026/09/13 12:45:17.397, 41 %, 5 %, 63.38 W, 6332 MiB
2026/09/13 12:45:18.397, 38 %, 4 %, 63.07 W, 6332 MiB
2026/09/13 12:45:19.397, 47 %, 3 %, 63.37 W, 6311 MiB
2026/09/13 12:45:20.397, 46 %, 4 %, 62.59 W, 6332 MiB
2026/09/13 12:45:21.397, 43 %, 5 %, 63.68 W, 6332 MiB
2026/09/13 12:45:22.397, 47 %, 3 %, 63.06 W, 6362 MiB
2026/09/13 12:45:23.398, 42 %, 3 %, 61.97 W, 6364 MiB
2026/09/13 12:45:24.398, 22 %, 3 %, 62.58 W, 6364 MiB
2026/09/13 12:45:25.398, 6 %, 0 %, 62.52 W, 6364 MiB
2026/09/13 12:45:26.398, 3 %, 1 %, 64.21 W, 6364 MiB
2026/09/13 12:45:27.398, 3 %, 1 %, 64.34 W, 6364 MiB
2026/09/13 12:45:28.398, 50 %, 3 %, 62.97 W, 6364 MiB
2026/09/13 12:45:29.398, 47 %, 4 %, 62.53 W, 6365 MiB
2026/09/13 12:45:30.399, 44 %, 4 %, 63.17 W, 6373 MiB
2026/09/13 12:45:31.399, 42 %, 4 %, 62.76 W, 6372 MiB
2026/09/13 12:45:32.399, 43 %, 4 %, 62.86 W, 6385 MiB
2026/09/13 12:45:33.399, 44 %, 4 %, 62.60 W, 6382 MiB
2026/09/13 12:45:34.399, 51 %, 3 %, 62.59 W, 6385 MiB
2026/09/13 12:45:35.400, 23 %, 3 %, 63.20 W, 6380 MiB
2026/09/13 12:45:36.400, 1 %, 0 %, 63.43 W, 6408 MiB
2026/09/13 12:45:37.400, 35 %, 2 %, 62.69 W, 6398 MiB
2026/09/13 12:45:38.400, 38 %, 5 %, 63.13 W, 6405 MiB
2026/09/13 12:45:39.400, 43 %, 5 %, 63.10 W, 6458 MiB
2026/09/13 12:45:40.401, 44 %, 4 %, 63.13 W, 6467 MiB
2026/09/13 12:45:41.401, 47 %, 4 %, 63.41 W, 6471 MiB
2026/09/13 12:45:42.401, 45 %, 4 %, 63.04 W, 6436 MiB
2026/09/13 12:45:43.401, 8 %, 1 %, 63.63 W, 6436 MiB
2026/09/13 12:45:44.402, 18 %, 2 %, 64.33 W, 6479 MiB
2026/09/13 12:45:45.402, 45 %, 5 %, 64.51 W, 6476 MiB
2026/09/13 12:45:46.402, 44 %, 4 %, 63.80 W, 6450 MiB
