method,episodes,escalations_per_episode,failure_recovery_rate,handoff_contract_rate,handoff_failure_rate,mean_actions,mean_planner_latency_ms,mean_progress,mean_recovery_decision_latency_ms,mean_recovery_latency_actions,memory_hit_rate,monitor_queries_per_failure,nominal_model_calls_per_episode,recovery_actions_per_failure,recovery_model_calls_per_failure,rollback_actions_per_episode,task_success_rate
agentchord,300,0.0,1.0,0.59472049689441,0.2732919254658385,11.043333333333333,4.715178866671674,0.9814814814814815,0.00881981118071918,3.8842443729903535,0.0,1.8392282958199357,32.53333333333333,1.8392282958199357,0.0,0.0,1.0
baton_str,300,0.0,1.0,1.0,0.0,10.486666666666666,4.3122822033342345,0.9814814814814815,0.017699115461752072,3.337620578778135,0.09896907216494845,1.5594855305466238,31.336666666666666,1.5594855305466238,0.0,0.0,1.0
doremi,300,0.0,0.9935691318327974,0.0943683409436834,0.6225266362252664,13.27,5.386504376670776,0.9773148148148149,0.009059885331400293,5.8705501618122975,0.0,8.7491961414791,36.843333333333334,2.9163987138263665,2.9163987138263665,0.0,0.9933333333333333
inner_monologue,300,0.0,0.9935691318327974,0.0943683409436834,0.6225266362252664,13.27,5.430327796671766,0.9773148148148149,0.013813544652382027,5.8705501618122975,0.0,2.9163987138263665,36.843333333333334,2.9163987138263665,2.9163987138263665,0.0,0.9933333333333333
no_recovery,300,0.0,0.635483870967742,0.0,0.6758893280632411,22.086666666666666,6.71753486336532,0.7804166666666666,0.006435482910901487,3.685279187817259,0.0,0.0,60.236666666666665,0.0,0.0,0.0,0.6233333333333333
rekep,300,0.0,0.6387096774193548,0.0,0.659877800407332,23.503333333333334,6.006875393346339,0.7820833333333334,0.005207232809898144,5.959595959595959,0.0,8.022580645161291,46.086666666666666,8.022580645161291,0.0,8.29,0.6266666666666667
