condition,trajectories,base_mse,tuned_mse,mse_reduction,mse_reduction_percent,improved_trajectories,sign_test_two_sided_p,paired_effect_dz
clean,42,0.10619595256589708,0.10023596918299085,0.005959983382906232,5.612250974638532,42,4.547473508864641e-13,2.8298629223896032
combined,42,0.1061863320923987,0.10020508067238898,0.005981251420009704,5.632788422153127,42,4.547473508864641e-13,2.8454847501249754
occlusion,42,0.10617914742657117,0.10003554750056494,0.006143599926006226,5.786070122907014,42,4.547473508864641e-13,2.956693186945788
state_noise,42,0.10619594227700006,0.10023368646701176,0.005962255809988294,5.614391361994253,42,4.547473508864641e-13,2.83216608293784
vision_noise,42,0.10621288418769836,0.1003462556926977,0.005866628495000657,5.523462186219526,42,4.547473508864641e-13,2.641397902035748
