condition,trajectories,base_mse,tuned_mse,mse_reduction,mse_reduction_percent,improved_trajectories,sign_test_two_sided_p,paired_effect_dz
clean,42,0.100716649244229,0.10023596918299085,0.00048068006123815266,0.4772597826130473,38,5.65314621780999e-08,1.481156458742083
combined,42,0.10069563878434044,0.10020508067238898,0.0004905581119514647,0.48716917423016853,38,5.65314621780999e-08,1.469433029635836
occlusion,42,0.10061556562071755,0.10003554750056494,0.0005800181201526097,0.5764695716556001,39,5.631591193377972e-09,1.7156270388666939
state_noise,42,0.1007147188342753,0.10023368646701176,0.00048103236726352146,0.47761873619987333,38,5.65314621780999e-08,1.4820687393309226
vision_noise,42,0.10079127142117136,0.1003462556926977,0.00044501572847366333,0.44152209035452955,36,2.8288777684792876e-06,1.2123569567781531
