# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    128     48      -     89     46      0      0      0      0  13801   2565   7415     32      0 
    0    129     49      -     85     52      0      0      0      0  13801   2565   7415     32      0 
    0    129     50      -     97     28      0      0      0      0  13801   2565   7415     32      0 
    0    131     49      -     87     50      0      0      0      0  13801   2565   7415     32      0 
    0    129     48      -     88     41      0      0      0      0  13801   2632   7415     32      0 
    0    117     48      -     85     53      0      0      0      0  13801   2625   7415     32      0 
    0    130     49      -     86     53      0      0      0      0  13801   2565   7415     32      0 
    0    133     49      -     86     52      0      0      0      0  13801   2565   7415     32      0 
    0    131     49      -     86     53      0      0      0      0  13801   2565   7415     32      0 
    0    141     50      -     98     34      0      0      0      0  13801   2565   7415     32      0 
    0    133     49      -     91     44      0      0      0      0  13801   2565   7415     32      0 
    0    133     49      -     86     53      0      0      0      0  13801   2565   7415     32      0 
    0    134     49      -     86     53      0      0      0      0  13801   2565   7415     32      0 
    0     42     44      -      0      0      0      0      0      0  13801   2565    390     30      0 
    0     38     44      -      0      0      0      0      0      0   7001   1590    390     30      0 
    0     25     43      -      0      0      0      0      0      0   7001    457    390     30      0 
    0     25     43      -      0      0      0      0      0      0   7001    285    390     30      0 
    0     25     43      -      0      0      0      0      0      0   7001    180    390     30      0 
    0     25     42      -      0      0      0      0      0      0   7001    180    390     30      0 
    0     25     42      -      0      0      0      0      0      0   7001    180    390     30      0 
    0     19     42      -      0      0      0      0      0      0    810    187    390     30      0 
    0     11     42      -      0      0      0      0      0      0    810    180    390     30      0 
    0     11     42      -      0      0      0      0      0      0    810    180    390     30      0 
    0      9     41      -      0      0      0      0      0      0    405    180    390     30      0 
    0      9     41      -      0      0      0      0      0      0    405    180    390     30      0 
    0      9     41      -      0      0      0      0      0      0    405    180    390     30      0 
    0      9     41      -      0      0      0      0      0      0    405    180    390     30      0 
    0      9     41      -      0      0      0      0      0      0    405    180    390     30      0 
    0      9     41      -      0      0      0      0      0      0    405    180    390     30      0 
