method,episodes,generated_tokens,hallucinated_candidates_per_decision,injected_failure_recovery_rate,mean_model_calls_per_decision,mean_planner_latency_ms,mean_progress,mean_search_nodes_per_decision,mean_steps,next_subtask_accuracy,p95_episode_mean_latency_ms,repeated_action_rate,safety_fallback_rate,task_success_rate,ttc_route_rate,valid_selection_rate
adaptive_ttc,30,44268,0.0,1.0,3.8976109215017063,0.3190056212727645,1.0,12.109215017064846,9.766666666666667,0.9829351535836177,0.6658360000735477,0.06484641638225255,0.0,1.0,0.4812286689419795,1.0
best_of_n,30,17580,0.0,1.0,2.0,0.18601631074425434,1.0,4.0,9.766666666666667,0.9761092150170648,0.42977854536729865,0.05460750853242321,0.0,1.0,0.0,1.0
plan_once,30,3528,0.0,1.0,1.0,0.04108010482215268,1.0,1.0,9.8,0.9319727891156463,0.09239945451223651,0.05442176870748299,0.17687074829931973,1.0,0.0,1.0
recursive,30,9528,0.0,1.0,2.7006802721088436,0.05370826168670037,1.0,2.7006802721088436,9.8,0.9319727891156463,0.10672072729986129,0.05442176870748299,0.17687074829931973,1.0,0.0,1.0
ttc,30,88860,0.0,1.0,7.068259385665529,0.6826893314855578,1.0,24.273037542662117,9.766666666666667,0.9897610921501706,1.219484090845733,0.06484641638225255,0.0,1.0,1.0,1.0
