method,episodes,escalations_per_episode,failure_recovery_rate,handoff_contract_rate,handoff_failure_rate,mean_actions,mean_planner_latency_ms,mean_progress,mean_recovery_decision_latency_ms,mean_recovery_latency_actions,memory_hit_rate,monitor_queries_per_failure,nominal_model_calls_per_episode,recovery_actions_per_failure,recovery_model_calls_per_failure,rollback_actions_per_episode,task_success_rate
agentchord,18000,0.0,1.0,0.5869554810914313,0.30047869794159887,11.198611111111111,5.117178926774993,0.9814814814814815,0.008624481779534445,4.059512247760872,0.0,1.9218733139095716,33.105111111111114,1.9218733139095716,0.0,0.0,1.0
baton_str,18000,0.0,1.0,1.0,0.0,10.498833333333334,4.450200232171685,0.9814814814814815,0.014827844592757643,3.3750134858129246,0.1032632837860926,1.5786492609774516,31.76061111111111,1.5786492609774516,0.0,0.0,1.0
doremi,18000,0.0,0.994497194648252,0.08404663859714061,0.6625873316985148,13.684833333333334,6.073462119336593,0.9765231481481482,0.009561872232065952,6.3449603992622325,0.0,9.471299093655588,37.91711111111111,3.1570996978851964,3.1570996978851964,0.0,0.9915555555555555
inner_monologue,18000,0.0,0.994497194648252,0.08404663859714061,0.6625873316985148,13.684833333333334,5.88983280083063,0.9765231481481482,0.00927482761448981,6.3449603992622325,0.0,3.1570996978851964,37.91711111111111,3.1570996978851964,3.1570996978851964,0.0,0.9915555555555555
no_recovery,18000,0.0,0.6227324416526777,0.0,0.6928892460636367,22.570611111111113,7.311885472446811,0.7740396825396826,0.005627105805864158,3.9343478260869564,0.0,0.0,61.61638888888889,0.0,0.0,0.0,0.6129444444444444
rekep,18000,0.0,0.6208371690041696,0.0,0.6921236768135877,24.313944444444445,7.156621473555826,0.7725983465608466,0.005561396983840768,6.5801133885739205,0.0,8.491904478258515,47.59961111111111,8.491904478258515,0.0,8.712222222222222,0.6097777777777778
