method,episodes,generated_tokens,hallucinated_candidates_per_decision,injected_failure_recovery_rate,mean_model_calls_per_decision,mean_planner_latency_ms,mean_progress,mean_search_nodes_per_decision,mean_steps,next_subtask_accuracy,p95_episode_mean_latency_ms,repeated_action_rate,safety_fallback_rate,task_success_rate,ttc_route_rate,valid_selection_rate
adaptive_ttc,6000,6383964,0.0,1.0,3.1035205507463703,0.4366667186897914,1.0,9.065452252743508,9.780666666666667,0.9961488651080362,1.1170146363755604,0.0622486538068298,1.704041987594574e-05,1.0,0.34862995024197396,1.0
best_of_n,6000,2816736,0.0,1.0,1.0,0.2687156793173128,1.0,4.0,9.780333333333333,0.9827545073446713,0.6049128182481085,0.062370062370062374,0.0,1.0,0.0,1.0
plan_once,6000,704208,0.0,1.0,1.0,0.029641593316028916,1.0,1.0,9.780666666666667,0.9697191738804444,0.07881509991420899,0.06173744121055143,0.09225683320837025,1.0,0.0,1.0
recursive,6000,1896168,0.0,1.0,2.6926249062776906,0.049629181209971306,1.0,2.6926249062776906,9.780666666666667,0.9697191738804444,0.09337154551758431,0.06173744121055143,0.09225683320837025,1.0,0.0,1.0
ttc,6000,17024496,0.0,1.0,6.043845000340808,1.2954597392131704,1.0,24.175380001363234,9.780666666666667,0.9968304819030741,2.303663727285642,0.06248721968509304,0.0,1.0,1.0,1.0
