trajectory_id,condition,frames,mse,mae,rmse,p95_absolute_error,within_0_1_rate,mean_inference_ms,p95_inference_ms
0,clean,120,0.09217672049999237,0.17976181209087372,0.30360618233680725,0.699999988079071,0.5441860465116279,124.36717066642207,248.86924390002602
1,clean,120,0.1054847314953804,0.19308236241340637,0.32478412985801697,0.7190487384796155,0.5288759689922481,51.32416633326405,53.1608142994628
2,clean,120,0.11047770082950592,0.1917394995689392,0.33238187432289124,0.7814144790172585,0.5381782945736434,51.507380666710866,53.449912799715094
3,clean,120,0.09295537322759628,0.181768536567688,0.3048858344554901,0.699999988079071,0.5403100775193799,51.448691332855866,53.180378399338224
4,clean,120,0.10201623290777206,0.18656831979751587,0.31939980387687683,0.752595883607865,0.5445736434108527,51.23834499984999,51.787010800126154
5,clean,120,0.10850818455219269,0.18940840661525726,0.329405814409256,0.7510244816541672,0.5525193798449612,51.45028133362454,53.225497000585165
6,clean,120,0.11304576694965363,0.19686807692050934,0.3362227976322174,0.7821309924125674,0.5352713178294574,51.31949166661798,52.99935599978198
7,clean,120,0.10838382691144943,0.19137443602085114,0.32921698689460754,0.7547255188226701,0.5410852713178295,51.653331666481485,53.15057249990787
8,clean,120,0.1063748151063919,0.18952339887619019,0.3261515200138092,0.7429736644029628,0.5436046511627907,51.474676666657615,52.887110299616324
9,clean,120,0.10121722519397736,0.19158552587032318,0.31814655661582947,0.7008580684661866,0.5275193798449612,51.33717099973486,53.20519989963941
10,clean,120,0.09612340480089188,0.18450090289115906,0.310037761926651,0.699999988079071,0.5377906976744186,51.14419266677336,52.56165750033688
11,clean,120,0.09481371939182281,0.18339240550994873,0.30791836977005005,0.699999988079071,0.5422480620155039,51.937846666381425,53.06259489971126
12,clean,120,0.09617220610380173,0.18544457852840424,0.3101164400577545,0.699999988079071,0.5377906976744186,51.65873933340966,53.073700400091184
13,clean,120,0.10229457914829254,0.18960613012313843,0.31983524560928345,0.7566955149173737,0.5368217054263565,51.16435166686036,52.74752180039286
14,clean,120,0.09591493010520935,0.18336719274520874,0.3097013533115387,0.699999988079071,0.5455426356589147,51.3446693333511,53.24866819992167
15,clean,120,0.09676657617092133,0.1850239783525467,0.31107327342033386,0.7061278074979788,0.5313953488372093,50.7903666666607,51.54278219952175
16,clean,120,0.10559967905282974,0.19202041625976562,0.3249610364437103,0.7519202798604966,0.537015503875969,51.0855943336234,52.46952900033648
17,clean,120,0.1111719086766243,0.19790950417518616,0.33342450857162476,0.7766969799995423,0.5331395348837209,51.84886800028229,52.029126900470146
18,clean,120,0.09648656845092773,0.18423409759998322,0.3106228709220886,0.7131740480661394,0.5410852713178295,51.18739900020349,52.96043540020037
19,clean,120,0.09016520529985428,0.18174143135547638,0.30027520656585693,0.695878365635872,0.5346899224806202,51.435716999549186,53.326663699772325
20,clean,120,0.09852544218301773,0.18844486773014069,0.3138876259326935,0.7086816251277926,0.5319767441860465,50.67391000011412,51.35057140005301
21,clean,120,0.10092321783304214,0.18772614002227783,0.317684143781662,0.7488575100898743,0.5350775193798449,51.331436333081605,53.021343300042645
22,clean,120,0.0946154072880745,0.18288958072662354,0.3075961768627167,0.699999988079071,0.5441860465116279,51.54874866669464,53.367474299830064
23,clean,120,0.10530024021863937,0.19319631159305573,0.3244999945163727,0.7047627985477449,0.5246124031007752,51.17312833347872,52.835848099857685
24,clean,120,0.10428691655397415,0.18829302489757538,0.3229348361492157,0.7546814441680911,0.548062015503876,50.86884399982713,51.810348900016834
25,clean,120,0.09197531640529633,0.17978177964687347,0.30327433347702026,0.699999988079071,0.5410852713178295,51.117684333500314,52.56967200029976
26,clean,120,0.09178006649017334,0.18010100722312927,0.30295225977897644,0.699999988079071,0.5385658914728683,51.38819133329283,53.084972000033304
27,clean,120,0.09482685476541519,0.1837036907672882,0.30793970823287964,0.699999988079071,0.5424418604651163,51.617000333559794,53.12462089996188
28,clean,120,0.09740488231182098,0.1866782009601593,0.31209754943847656,0.699999988079071,0.5329457364341085,51.05354533316131,52.287384899955214
29,clean,120,0.09767282009124756,0.18657194077968597,0.31252652406692505,0.703331434726716,0.5352713178294574,51.34314799973557,53.12529239963624
30,clean,120,0.10894777625799179,0.19434645771980286,0.3300723731517792,0.7402330994606019,0.5333333333333333,51.37563166651186,53.157861300041986
31,clean,119,0.10761292278766632,0.19570647180080414,0.3280440866947174,0.7229632139205925,0.5225718194254446,51.290055333386896,52.40397030020176
32,clean,120,0.10208091139793396,0.19116412103176117,0.31950104236602783,0.7079240918159486,0.5156976744186047,51.3103583331637,52.88391809990571
33,clean,120,0.0995015949010849,0.19424422085285187,0.31543874740600586,0.699999988079071,0.514922480620155,51.65929633343088,53.597866499876545
34,clean,120,0.09917719662189484,0.186269611120224,0.31492412090301514,0.7150141060352333,0.5387596899224806,51.20790900036809,52.79090130024997
35,clean,120,0.09182535856962204,0.1817595511674881,0.3030270040035248,0.6895846247673036,0.5350775193798449,51.29534733381055,52.42226340033085
36,clean,120,0.09705666452646255,0.18384526669979095,0.3115391731262207,0.7371973127126696,0.5492248062015503,52.51707066660553,53.96578399995633
37,clean,120,0.09571494162082672,0.1832614243030548,0.30937832593917847,0.699999988079071,0.5447674418604651,51.48122833331096,53.316342899961455
38,clean,120,0.11259182542562485,0.19685298204421997,0.3355470597743988,0.781826665997506,0.5323643410852713,51.041032999819436,52.29526800003441
39,clean,120,0.10662851482629776,0.1920289695262909,0.3265402317047119,0.7359019190073014,0.5397286821705426,51.07942399990861,51.89225439944494
40,clean,120,0.10089045017957687,0.18989169597625732,0.3176325857639313,0.7082544356584555,0.5296511627906977,51.47638199984309,53.43027050012097
41,clean,120,0.10461059212684631,0.1890496462583542,0.32343560457229614,0.7506136059761047,0.5472868217054263,51.18499933299366,52.723958699698414
0,vision_noise,120,0.09228968620300293,0.17987479269504547,0.30379217863082886,0.699999988079071,0.5441860465116279,51.52177533333694,52.32658019995142
1,vision_noise,120,0.10567953437566757,0.1932692527770996,0.3250838816165924,0.7257418721914294,0.5288759689922481,51.64762433347884,52.77076840011432
2,vision_noise,120,0.11057712882757187,0.19187280535697937,0.3325313925743103,0.7828284233808518,0.537984496124031,51.165957000193885,51.546913600031985
3,vision_noise,120,0.09295511245727539,0.18177597224712372,0.3048854172229767,0.699999988079071,0.5405038759689923,51.65103866662927,52.80430049961069
4,vision_noise,120,0.10183285176753998,0.18630409240722656,0.3191125988960266,0.7515800803899767,0.5436046511627907,51.69278400020024,52.639985000041634
5,vision_noise,120,0.10859718173742294,0.18944551050662994,0.329540878534317,0.7507314622402194,0.5523255813953488,54.94350699973438,59.03044509950632
6,vision_noise,120,0.11295130848884583,0.19672182202339172,0.3360822796821594,0.7805273562669757,0.5356589147286822,51.29613233323956,51.53045180031768
7,vision_noise,120,0.1084992066025734,0.19150741398334503,0.3293921649456024,0.7577891677618027,0.5406976744186046,51.80792566655631,52.49382609981694
8,vision_noise,120,0.10645006597042084,0.18960629403591156,0.3262668550014496,0.745462214946747,0.5428294573643411,53.43206800019592,56.270180900355626
9,vision_noise,120,0.10135312378406525,0.1916995495557785,0.3183600604534149,0.702376800775528,0.5279069767441861,51.394250666514075,52.16144039995925
10,vision_noise,120,0.09609142690896988,0.18444202840328217,0.3099861741065979,0.699999988079071,0.5381782945736434,51.90261533334706,53.10464470003353
11,vision_noise,120,0.09487725794315338,0.18342594802379608,0.30802151560783386,0.699999988079071,0.541860465116279,51.29296366673467,51.56999699993321
12,vision_noise,120,0.0962788388133049,0.18552391231060028,0.31028831005096436,0.699999988079071,0.5375968992248062,51.765749666628835,52.35741579972455
13,vision_noise,120,0.10240555554628372,0.189665287733078,0.32000869512557983,0.7574449926614765,0.5372093023255814,51.808678999805124,53.420065099453495
14,vision_noise,120,0.09589774906635284,0.18334482610225677,0.30967360734939575,0.699999988079071,0.5455426356589147,51.3570353329366,52.02510409972092
15,vision_noise,120,0.09696922451257706,0.1852152794599533,0.31139880418777466,0.7072778999805452,0.5310077519379846,51.055949999863515,51.340553799673216
16,vision_noise,120,0.10569733381271362,0.19213002920150757,0.3251112699508667,0.7525873124599459,0.537015503875969,57.014354666838095,66.0870941002031
17,vision_noise,120,0.1113768219947815,0.19809548556804657,0.33373165130615234,0.7767130941152575,0.5327519379844962,51.515243999953476,52.36646439961987
18,vision_noise,120,0.0964035838842392,0.1841413378715515,0.3104892671108246,0.7093868553638465,0.540891472868217,51.76698299995527,52.932150100241415
