trajectory_id,condition,frames,mse,mae,rmse,p95_absolute_error,within_0_1_rate,mean_inference_ms,p95_inference_ms
0,clean,120,0.0925070270895958,0.18007497489452362,0.30414968729019165,0.699999988079071,0.5441860465116279,128.02061666692074,249.392199200156
1,clean,120,0.10573737323284149,0.19331364333629608,0.3251728415489197,0.7183809816837311,0.5294573643410853,50.534591666594984,51.16966909945404
2,clean,120,0.11074197292327881,0.1920154094696045,0.3327791690826416,0.7825651764869691,0.5383720930232558,51.04362599983384,52.43911229999867
3,clean,120,0.09343593567609787,0.18225306272506714,0.30567291378974915,0.699999988079071,0.539922480620155,51.01299799965394,52.47810329965432
4,clean,120,0.10176609456539154,0.18625856935977936,0.3190079927444458,0.7509419888257981,0.5424418604651163,51.46115833304066,52.621326099415455
5,clean,120,0.10865721851587296,0.18955375254154205,0.3296319544315338,0.7490747243165973,0.5519379844961241,51.43948533320023,53.41972410024027
6,clean,120,0.11329256743192673,0.19707870483398438,0.33658960461616516,0.7821309924125674,0.536046511627907,51.31908500000767,53.31391040026574
7,clean,120,0.10846484452486038,0.19151641428470612,0.32934001088142395,0.7546875476837158,0.5405038759689923,50.723954000204685,51.43220990012196
8,clean,120,0.1064985990524292,0.18964913487434387,0.3263412415981293,0.7421843171119691,0.5434108527131783,51.03175600015675,52.33961600015391
9,clean,120,0.10112448781728745,0.1914408802986145,0.31800076365470886,0.7024116158485414,0.5290697674418605,52.518460333279414,54.527822000000015
10,clean,120,0.09624580293893814,0.18463103473186493,0.31023508310317993,0.699999988079071,0.5374031007751938,51.26110600000781,52.944174299591396
11,clean,120,0.09508419036865234,0.18361319601535797,0.30835723876953125,0.699999988079071,0.5428294573643411,50.92754500007383,52.380319599978975
12,clean,120,0.09653528779745102,0.18576930463314056,0.31070128083229065,0.699999988079071,0.5375968992248062,52.40296500020728,54.15533219993449
13,clean,120,0.10242489725351334,0.18968155980110168,0.32003888487815857,0.7574449926614765,0.5375968992248062,51.39131933295479,53.47063619929031
14,clean,120,0.09613798558712006,0.18353959918022156,0.3100612461566925,0.699999988079071,0.5453488372093023,51.24369466648204,52.72836819995064
15,clean,120,0.09679847210645676,0.1850440949201584,0.3111245334148407,0.7059944838285447,0.5315891472868217,51.06144933355002,52.69009660005395
16,clean,120,0.10563492029905319,0.19200514256954193,0.32501524686813354,0.7519202798604966,0.5364341085271318,51.123128667010555,52.69675570016261
17,clean,120,0.11157219111919403,0.1982637494802475,0.33402425050735474,0.7775220036506654,0.5325581395348837,51.285147666627985,53.24287399980676
18,clean,120,0.096511609852314,0.18422865867614746,0.3106631636619568,0.7124265670776369,0.5406976744186046,51.21398199995989,52.09148950052622
19,clean,120,0.09042404592037201,0.18199773132801056,0.3007059097290039,0.6949677854776384,0.5348837209302325,51.44150933332033,53.1545869999718
20,clean,120,0.09858749061822891,0.18849419057369232,0.3139864504337311,0.710454434156418,0.5325581395348837,50.535064333113645,51.16595730005429
21,clean,120,0.10087443143129349,0.1876409649848938,0.3176073431968689,0.749448272585869,0.5368217054263565,51.09595933330032,52.53037950033104
22,clean,120,0.0947427824139595,0.1829686462879181,0.3078031539916992,0.699999988079071,0.5441860465116279,50.997318333429575,52.40327649989922
