method,episodes,generated_tokens,hallucinated_candidates_per_decision,injected_failure_recovery_rate,mean_model_calls_per_decision,mean_planner_latency_ms,mean_progress,mean_search_nodes_per_decision,mean_steps,next_subtask_accuracy,p95_episode_mean_latency_ms,repeated_action_rate,safety_fallback_rate,task_success_rate,ttc_route_rate,valid_selection_rate
adaptive_ttc,6000,10339716,0.0,1.0,4.421002402903935,0.7875203020836604,1.0,14.12399665979311,9.779833333333332,0.989059118253549,2.0674664547186694,0.06109511068695785,0.0002897118219465226,1.0,0.5600129518226282,1.0
best_of_n,6000,2817792,0.0,1.0,1.0,0.23769471452672422,1.0,4.0,9.784,0.9536999182338511,0.498116583457886,0.06263627691469065,0.000800626873807577,1.0,0.0,1.0
plan_once,6000,703872,0.0,1.0,1.0,0.057389991794813085,1.0,1.0,9.776,0.9163768412438625,0.16822749997421246,0.060914484451718494,0.27763570649208946,1.0,0.0,1.0
recursive,6000,1904376,0.0,1.0,2.705571467539553,0.0831481166372279,1.0,2.705571467539553,9.776,0.9163768412438625,0.17680854547176172,0.060914484451718494,0.27763570649208946,1.0,0.0,1.0
ttc,6000,17061552,0.0,1.0,6.0574130879345605,1.1762795197323535,1.0,24.229652351738242,9.78,0.9893490115882754,2.0393265455244216,0.0613667348329925,0.0005623721881390593,1.0,1.0,1.0
