condition,trajectories,base_mse,tuned_mse,mse_reduction,mse_reduction_percent,improved_trajectories,sign_test_two_sided_p,paired_effect_dz
clean,42,0.10621602425263041,0.10091773704403922,0.005298287208591189,4.988218346404524,42,4.547473508864641e-13,2.336464202528951
combined,42,0.10620293038941565,0.1008838237751098,0.005319106614305859,5.008436767989568,42,4.547473508864641e-13,2.371032856860556
occlusion,42,0.10620352395233654,0.10089996669973646,0.005303557252600079,4.993767678537938,42,4.547473508864641e-13,2.3661123964123876
state_noise,42,0.10621592721768788,0.10091648995876312,0.005299437258924756,4.989305650991157,42,4.547473508864641e-13,2.3375115604049976
vision_noise,42,0.10622999763914517,0.10092418197365034,0.005305815665494828,4.994649141872581,42,4.547473508864641e-13,2.29816711519709
