disturbance_rate,method,episodes,escalations_per_episode,failure_recovery_rate,handoff_contract_rate,handoff_failure_rate,mean_actions,mean_planner_latency_ms,mean_progress,mean_recovery_decision_latency_ms,mean_recovery_latency_actions,memory_hit_rate,monitor_queries_per_failure,nominal_model_calls_per_episode,recovery_actions_per_failure,recovery_model_calls_per_failure,rollback_actions_per_episode,task_success_rate
0.05,agentchord,18000,0.0,1.0,0.5871173808890072,0.30039925472451423,10.875944444444444,4.992527973782103,0.9814814814814815,0.00871653560260941,3.8205947136563876,0.0,1.776376651982379,32.542944444444444,1.776376651982379,0.0,0.0,1.0
0.05,baton_str,18000,0.0,1.0,1.0,0.0,10.245055555555556,4.589385034446953,0.9814814814814815,0.015206322982126118,3.191498733619645,0.05589055551368056,1.4609624490694857,31.326666666666668,1.4609624490694857,0.0,0.0,1.0
0.05,doremi,18000,0.0,0.9970813370780329,0.08416401192066592,0.6628558216010687,13.127444444444444,5.987103919558245,0.9787453703703705,0.009548571409639316,5.989174859162708,0.0,8.741615727738312,36.934,2.913871909246104,2.913871909246104,0.0,0.995
0.05,inner_monologue,18000,0.0,0.9970813370780329,0.08416401192066592,0.6628558216010687,13.127444444444444,5.799813696002641,0.9787453703703705,0.009267906185364192,5.989174859162708,0.0,2.913871909246104,36.934,2.913871909246104,2.913871909246104,0.0,0.995
0.05,no_recovery,18000,0.0,0.6289238902962881,0.0,0.689912742335246,21.956555555555557,7.195842974837092,0.7813819444444444,0.005550160798634884,3.552802101576182,0.0,0.0,59.971555555555554,0.0,0.0,0.0,0.6256666666666667
0.05,rekep,18000,0.0,0.6280363536215918,0.0,0.6887426252429834,23.4425,6.616867685557281,0.7806783730158731,0.005348828196870379,5.8637081213822135,0.0,8.149820985954282,46.431,8.149820985954282,0.0,8.22,0.6240555555555556
0.15,agentchord,18000,0.0,1.0,0.5869554810914313,0.30047869794159887,11.198611111111111,5.117178926774993,0.9814814814814815,0.008624481779534445,4.059512247760872,0.0,1.9218733139095716,33.105111111111114,1.9218733139095716,0.0,0.0,1.0
0.15,baton_str,18000,0.0,1.0,1.0,0.0,10.498833333333334,4.450200232171685,0.9814814814814815,0.014827844592757643,3.3750134858129246,0.1032632837860926,1.5786492609774516,31.76061111111111,1.5786492609774516,0.0,0.0,1.0
0.15,doremi,18000,0.0,0.994497194648252,0.08404663859714061,0.6625873316985148,13.684833333333334,6.073462119336593,0.9765231481481482,0.009561872232065952,6.3449603992622325,0.0,9.471299093655588,37.91711111111111,3.1570996978851964,3.1570996978851964,0.0,0.9915555555555555
0.15,inner_monologue,18000,0.0,0.994497194648252,0.08404663859714061,0.6625873316985148,13.684833333333334,5.88983280083063,0.9765231481481482,0.00927482761448981,6.3449603992622325,0.0,3.1570996978851964,37.91711111111111,3.1570996978851964,3.1570996978851964,0.0,0.9915555555555555
0.15,no_recovery,18000,0.0,0.6227324416526777,0.0,0.6928892460636367,22.570611111111113,7.311885472446811,0.7740396825396826,0.005627105805864158,3.9343478260869564,0.0,0.0,61.61638888888889,0.0,0.0,0.0,0.6129444444444444
0.15,rekep,18000,0.0,0.6208371690041696,0.0,0.6921236768135877,24.313944444444445,7.156621473555826,0.7725983465608466,0.005561396983840768,6.5801133885739205,0.0,8.491904478258515,47.59961111111111,8.491904478258515,0.0,8.712222222222222,0.6097777777777778
0.35,agentchord,18000,0.0,0.9998477002741395,0.5872144112478032,0.30173550087873463,12.196777777777777,5.2254170026131606,0.9813314814814815,0.008713998304883577,4.728611322670728,0.0,2.3358208955223883,34.71977777777778,2.3358208955223883,0.0,0.0,0.9996666666666667
0.35,baton_str,18000,0.0,1.0,1.0,0.0,11.267833333333334,3.578978956833491,0.9814703703703704,0.011673148841762343,3.882514216084484,0.20651333848572875,1.9051076360682373,32.95483333333333,1.9051076360682373,0.0,0.0,0.9999444444444444
0.35,doremi,18000,0.0,0.9833917415815938,0.08688674083530913,0.6590552617180375,15.218777777777778,6.41029498288842,0.9663731481481481,0.009285254344441513,7.09193265158558,0.0,11.319975620905074,40.53772222222222,3.773325206968358,3.773325206968358,0.0,0.9752222222222222
0.35,inner_monologue,18000,0.0,0.9833917415815938,0.08688674083530913,0.6590552617180375,15.218777777777778,6.464803720224116,0.9663731481481481,0.00947992520074558,7.09193265158558,0.0,3.773325206968358,40.53772222222222,3.773325206968358,3.773325206968358,0.0,0.9752222222222222
0.35,no_recovery,18000,0.0,0.6084656084656085,0.0,0.6982898843803579,24.076944444444443,7.9967815740552,0.7576416446208113,0.005314817580615553,4.995436934997848,0.0,0.0,65.892,0.0,0.0,0.0,0.5846111111111111
0.35,rekep,18000,0.0,0.6003666841278156,0.0,0.697718036886527,26.446555555555555,7.705140763611541,0.7513374559082893,0.005495921855554871,8.298752290376058,0.0,9.343216343635412,50.58844444444444,9.343216343635412,0.0,9.909,0.5725555555555556
