disturbance_rate,method,task_id,episodes,failure_recovery_rate,task_success_rate
0.35,inner_monologue,pack_lunch,3000,0.964,0.9436666666666667
0.35,inner_monologue,prepare_ingredients,3000,1.0,0.9996666666666667
0.35,inner_monologue,set_breakfast_table,3000,1.0,1.0
0.35,no_recovery,clean_desk,3000,0.18433333333333332,0.18433333333333332
0.35,no_recovery,fruit_bowl_and_drawer,3000,0.17466666666666666,0.17466666666666666
0.35,no_recovery,make_tea,3000,0.9992603550295858,0.999
0.35,no_recovery,pack_lunch,3000,0.15133333333333332,0.15133333333333332
0.35,no_recovery,prepare_ingredients,3000,0.9996666666666667,0.9993333333333333
0.35,no_recovery,set_breakfast_table,3000,0.9996702934388394,0.999
0.35,rekep,clean_desk,3000,0.184,0.184
0.35,rekep,fruit_bowl_and_drawer,3000,0.17533333333333334,0.17533333333333334
0.35,rekep,make_tea,3000,0.9763138415988157,0.964
0.35,rekep,pack_lunch,3000,0.14966666666666667,0.14966666666666667
0.35,rekep,prepare_ingredients,3000,0.9896666666666667,0.9856666666666667
0.35,rekep,set_breakfast_table,3000,0.9904511030622325,0.9766666666666667
