method,episodes,generated_tokens,hallucinated_candidates_per_decision,injected_failure_recovery_rate,mean_model_calls_per_decision,mean_planner_latency_ms,mean_progress,mean_search_nodes_per_decision,mean_steps,next_subtask_accuracy,p95_episode_mean_latency_ms,repeated_action_rate,safety_fallback_rate,task_success_rate,ttc_route_rate,valid_selection_rate
adaptive_ttc,30000,38746404,0.0,1.0,3.611474672283687,0.797172734677389,1.0,11.005225055727111,9.7798,0.9921675289883228,2.8008663000036904,0.06161680197959059,0.00027607926542465083,1.0,0.44067363340763616,1.0
best_of_n,30000,14082816,0.0,1.0,1.0,0.4990766418779634,1.0,4.0,9.779733333333333,0.9701389267601025,1.9407244165752975,0.06237729726781916,0.00013974477831706387,1.0,0.0,1.0
plan_once,30000,3520608,0.0,1.0,1.0,0.041350239767171525,1.0,1.0,9.779466666666666,0.9468035066670303,0.11238390015932964,0.06150301311591634,0.17143743353420773,1.0,0.0,1.0
recursive,30000,9499788,0.0,1.0,2.6983373326425437,0.06800974294727892,1.0,2.6983373326425437,9.779466666666666,0.9468035066670303,0.13559270000769175,0.06150301311591634,0.17143743353420773,1.0,0.0,1.0
ttc,30000,84473136,0.0,1.0,5.998067511008712,1.4142384642676986,1.0,23.992270044034846,9.780133333333334,0.9943252307398672,2.225973545385138,0.06214298373573639,0.00013973906286212867,1.0,1.0,1.0
