timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB]
2026/09/13 12:38:25.326, 0 %, 0 %, 9.24 W, 444 MiB
2026/09/13 12:38:26.339, 0 %, 0 %, 9.24 W, 444 MiB
2026/09/13 12:38:27.339, 0 %, 2 %, 9.32 W, 444 MiB
2026/09/13 12:38:28.340, 4 %, 0 %, 14.85 W, 861 MiB
2026/09/13 12:38:29.340, 0 %, 0 %, 40.79 W, 893 MiB
2026/09/13 12:38:30.340, 0 %, 0 %, 40.31 W, 996 MiB
2026/09/13 12:38:31.340, 3 %, 0 %, 40.75 W, 1124 MiB
2026/09/13 12:38:32.341, 1 %, 0 %, 42.33 W, 1868 MiB
2026/09/13 12:38:33.341, 2 %, 0 %, 40.74 W, 1880 MiB
2026/09/13 12:38:34.341, 3 %, 0 %, 40.91 W, 1880 MiB
2026/09/13 12:38:35.341, 1 %, 0 %, 40.79 W, 1881 MiB
2026/09/13 12:38:36.341, 1 %, 0 %, 40.95 W, 3437 MiB
2026/09/13 12:38:37.341, 1 %, 0 %, 40.77 W, 3437 MiB
2026/09/13 12:38:38.342, 1 %, 0 %, 41.77 W, 4457 MiB
2026/09/13 12:38:39.342, 1 %, 0 %, 40.91 W, 4748 MiB
2026/09/13 12:38:40.342, 1 %, 0 %, 40.93 W, 4748 MiB
2026/09/13 12:38:41.342, 2 %, 0 %, 42.11 W, 5534 MiB
2026/09/13 12:38:42.342, 2 %, 0 %, 41.44 W, 5546 MiB
2026/09/13 12:38:43.343, 1 %, 0 %, 41.77 W, 5458 MiB
2026/09/13 12:38:44.343, 1 %, 0 %, 40.83 W, 5608 MiB
2026/09/13 12:38:45.343, 2 %, 1 %, 41.00 W, 6052 MiB
2026/09/13 12:38:46.343, 1 %, 0 %, 41.62 W, 6054 MiB
2026/09/13 12:38:47.344, 45 %, 4 %, 45.03 W, 6074 MiB
2026/09/13 12:38:48.344, 46 %, 2 %, 48.53 W, 6074 MiB
2026/09/13 12:38:49.344, 44 %, 4 %, 49.56 W, 6074 MiB
2026/09/13 12:38:50.344, 45 %, 4 %, 49.26 W, 6074 MiB
2026/09/13 12:38:51.344, 1 %, 0 %, 49.00 W, 6074 MiB
2026/09/13 12:38:52.344, 16 %, 1 %, 49.43 W, 6074 MiB
2026/09/13 12:38:53.345, 43 %, 4 %, 49.94 W, 6074 MiB
2026/09/13 12:38:54.345, 45 %, 4 %, 49.65 W, 6074 MiB
2026/09/13 12:38:55.345, 43 %, 4 %, 49.14 W, 6054 MiB
2026/09/13 12:38:56.345, 47 %, 2 %, 49.23 W, 6074 MiB
2026/09/13 12:38:57.345, 44 %, 4 %, 49.54 W, 6074 MiB
2026/09/13 12:38:58.345, 48 %, 3 %, 49.36 W, 6074 MiB
