timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB]
2026/09/13 12:38:59.345, 46 %, 5 %, 49.04 W, 6074 MiB
2026/09/13 12:39:00.346, 48 %, 3 %, 49.81 W, 6074 MiB
2026/09/13 12:39:01.346, 36 %, 3 %, 49.69 W, 6074 MiB
2026/09/13 12:39:02.346, 1 %, 0 %, 49.44 W, 6074 MiB
2026/09/13 12:39:03.346, 1 %, 0 %, 49.43 W, 6074 MiB
2026/09/13 12:39:04.346, 40 %, 2 %, 50.37 W, 6074 MiB
2026/09/13 12:39:05.346, 44 %, 4 %, 49.68 W, 6074 MiB
2026/09/13 12:39:06.346, 50 %, 3 %, 49.84 W, 6074 MiB
2026/09/13 12:39:07.347, 44 %, 4 %, 49.77 W, 6074 MiB
2026/09/13 12:39:08.347, 44 %, 3 %, 49.21 W, 6074 MiB
2026/09/13 12:39:09.347, 46 %, 5 %, 49.45 W, 6074 MiB
2026/09/13 12:39:10.347, 46 %, 3 %, 49.75 W, 6074 MiB
2026/09/13 12:39:11.347, 45 %, 4 %, 49.37 W, 6074 MiB
2026/09/13 12:39:12.348, 49 %, 3 %, 49.75 W, 6074 MiB
2026/09/13 12:39:13.348, 43 %, 4 %, 49.79 W, 6074 MiB
2026/09/13 12:39:14.348, 13 %, 0 %, 49.61 W, 6074 MiB
2026/09/13 12:39:15.348, 1 %, 0 %, 49.67 W, 6074 MiB
2026/09/13 12:39:16.348, 2 %, 0 %, 50.43 W, 6074 MiB
2026/09/13 12:39:17.348, 39 %, 2 %, 50.30 W, 6074 MiB
2026/09/13 12:39:18.348, 44 %, 5 %, 49.80 W, 6074 MiB
2026/09/13 12:39:19.348, 53 %, 3 %, 49.73 W, 6074 MiB
2026/09/13 12:39:20.349, 51 %, 3 %, 48.83 W, 6074 MiB
2026/09/13 12:39:21.349, 46 %, 4 %, 49.62 W, 6074 MiB
2026/09/13 12:39:22.349, 46 %, 3 %, 49.10 W, 6074 MiB
2026/09/13 12:39:23.349, 46 %, 4 %, 49.92 W, 6074 MiB
2026/09/13 12:39:24.349, 52 %, 3 %, 49.66 W, 6074 MiB
2026/09/13 12:39:25.349, 26 %, 3 %, 49.44 W, 6074 MiB
2026/09/13 12:39:26.350, 1 %, 0 %, 49.79 W, 6074 MiB
2026/09/13 12:39:27.350, 1 %, 0 %, 50.39 W, 6074 MiB
2026/09/13 12:39:28.350, 33 %, 2 %, 50.39 W, 6074 MiB
2026/09/13 12:39:29.350, 46 %, 4 %, 49.99 W, 6074 MiB
2026/09/13 12:39:30.350, 42 %, 2 %, 49.77 W, 6074 MiB
2026/09/13 12:39:31.350, 45 %, 4 %, 49.76 W, 6074 MiB
2026/09/13 12:39:32.351, 45 %, 3 %, 49.91 W, 6074 MiB
2026/09/13 12:39:33.351, 46 %, 4 %, 49.16 W, 6074 MiB
2026/09/13 12:39:34.351, 54 %, 3 %, 49.26 W, 6074 MiB
2026/09/13 12:39:35.351, 44 %, 4 %, 49.44 W, 6074 MiB
2026/09/13 12:39:36.351, 48 %, 3 %, 49.97 W, 6074 MiB
2026/09/13 12:39:37.351, 41 %, 4 %, 49.79 W, 6074 MiB
2026/09/13 12:39:38.351, 29 %, 3 %, 49.67 W, 6074 MiB
2026/09/13 12:39:39.351, 1 %, 0 %, 49.54 W, 6074 MiB
2026/09/13 12:39:40.352, 1 %, 0 %, 49.50 W, 6074 MiB
2026/09/13 12:39:41.352, 1 %, 0 %, 50.33 W, 6070 MiB
2026/09/13 12:39:42.352, 15 %, 1 %, 50.32 W, 6070 MiB
2026/09/13 12:39:43.352, 37 %, 2 %, 49.72 W, 6070 MiB
2026/09/13 12:39:44.352, 47 %, 4 %, 49.98 W, 6070 MiB
2026/09/13 12:39:45.352, 44 %, 5 %, 50.15 W, 6070 MiB
2026/09/13 12:39:46.352, 44 %, 2 %, 49.72 W, 6070 MiB
2026/09/13 12:39:47.353, 41 %, 4 %, 49.31 W, 6050 MiB
2026/09/13 12:39:48.353, 46 %, 3 %, 50.23 W, 6070 MiB
2026/09/13 12:39:49.353, 44 %, 4 %, 49.90 W, 6070 MiB
2026/09/13 12:39:50.353, 47 %, 2 %, 49.23 W, 6070 MiB
2026/09/13 12:39:51.354, 41 %, 4 %, 49.88 W, 6070 MiB
2026/09/13 12:39:52.354, 45 %, 5 %, 49.82 W, 6070 MiB
2026/09/13 12:39:53.354, 39 %, 2 %, 49.52 W, 6070 MiB
2026/09/13 12:39:54.354, 39 %, 4 %, 49.97 W, 6070 MiB
2026/09/13 12:39:55.354, 19 %, 2 %, 49.48 W, 6070 MiB
2026/09/13 12:39:56.354, 1 %, 0 %, 49.46 W, 6070 MiB
2026/09/13 12:39:57.355, 1 %, 0 %, 49.47 W, 6070 MiB
2026/09/13 12:39:58.355, 1 %, 0 %, 49.38 W, 6070 MiB
2026/09/13 12:39:59.355, 30 %, 2 %, 50.29 W, 6070 MiB
2026/09/13 12:40:00.355, 47 %, 3 %, 50.13 W, 6070 MiB
2026/09/13 12:40:01.355, 48 %, 5 %, 49.91 W, 6070 MiB
2026/09/13 12:40:02.355, 43 %, 4 %, 50.62 W, 6070 MiB
2026/09/13 12:40:03.356, 45 %, 2 %, 49.10 W, 6070 MiB
2026/09/13 12:40:04.356, 39 %, 4 %, 49.66 W, 6070 MiB
2026/09/13 12:40:05.356, 41 %, 4 %, 49.98 W, 6070 MiB
2026/09/13 12:40:06.356, 48 %, 3 %, 49.90 W, 6070 MiB
2026/09/13 12:40:07.356, 49 %, 4 %, 49.87 W, 6070 MiB
2026/09/13 12:40:08.357, 47 %, 3 %, 49.87 W, 6070 MiB
2026/09/13 12:40:09.357, 48 %, 4 %, 49.63 W, 6070 MiB
2026/09/13 12:40:10.357, 47 %, 3 %, 49.93 W, 6070 MiB
2026/09/13 12:40:11.357, 27 %, 3 %, 49.36 W, 6070 MiB
2026/09/13 12:40:12.357, 6 %, 0 %, 50.35 W, 6070 MiB
2026/09/13 12:40:13.357, 1 %, 0 %, 49.92 W, 6070 MiB
2026/09/13 12:40:14.357, 2 %, 0 %, 51.02 W, 6070 MiB
2026/09/13 12:40:15.358, 44 %, 3 %, 50.12 W, 6070 MiB
2026/09/13 12:40:16.358, 40 %, 4 %, 49.89 W, 6070 MiB
2026/09/13 12:40:17.358, 49 %, 2 %, 50.24 W, 6070 MiB
2026/09/13 12:40:18.358, 43 %, 4 %, 50.17 W, 6050 MiB
2026/09/13 12:40:19.358, 45 %, 4 %, 49.72 W, 6070 MiB
2026/09/13 12:40:20.359, 46 %, 3 %, 49.95 W, 6070 MiB
2026/09/13 12:40:21.359, 54 %, 2 %, 49.36 W, 6070 MiB
2026/09/13 12:40:22.359, 44 %, 4 %, 50.14 W, 6070 MiB
2026/09/13 12:40:23.359, 1 %, 0 %, 50.04 W, 6070 MiB
2026/09/13 12:40:24.359, 1 %, 0 %, 50.29 W, 6070 MiB
2026/09/13 12:40:25.359, 54 %, 2 %, 50.68 W, 6070 MiB
2026/09/13 12:40:26.360, 51 %, 4 %, 49.07 W, 6050 MiB
2026/09/13 12:40:27.360, 55 %, 3 %, 49.32 W, 6070 MiB
2026/09/13 12:40:28.360, 53 %, 3 %, 49.83 W, 6070 MiB
2026/09/13 12:40:29.360, 50 %, 3 %, 49.73 W, 6070 MiB
2026/09/13 12:40:30.360, 26 %, 3 %, 50.27 W, 6070 MiB
2026/09/13 12:40:31.360, 1 %, 0 %, 50.96 W, 6070 MiB
2026/09/13 12:40:32.361, 46 %, 4 %, 49.80 W, 6070 MiB
2026/09/13 12:40:33.361, 45 %, 3 %, 49.49 W, 6050 MiB
2026/09/13 12:40:34.361, 55 %, 2 %, 49.74 W, 6070 MiB
2026/09/13 12:40:35.361, 49 %, 2 %, 49.10 W, 6070 MiB
