#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s
 20260913    13:50:59       0      9     36      -      0     37      0      0      0      0    405    180      0      0     90     22      0      -      -      0      1      2
 20260913    13:51:00       0     10     36      -      0     24      0      0      0      0    405    180      0      0     90     22      0      -      -      0      0      0
 20260913    13:51:01       0     10     36      -      0      0      0      0      0      0    405    180      0      0     93     22      0      -      -      0      0      0
 20260913    13:51:02       0     11     36      -      0      0      0      0      0      0    405    180      0      0     93     22      0      -      -      0      0      1
 20260913    13:51:03       0      9     36      -      0      1      0      0      0      0    405    180      0      0     93     22      0      -      -      0      0      0
 20260913    13:51:04       0      9     36      -      0      0      0      0      0      0    405    180      0      0     93     22      0      -      -      0      0      0
 20260913    13:51:05       0      9     36      -      0      2      0      0      0      0    405    180      0      0     93     22      0      -      -      0      0      0
 20260913    13:51:06       0      9     36      -      0      1      0      0      0      0    405    180      0      0     93     22      0      -      -      0      0      0
 20260913    13:51:07       0     10     36      -      0      0      0      0      0      0    405    180      0      0     93     22      0      -      -      0      1      2
 20260913    13:51:08       0     10     36      -      0      0      0      0      0      0    405    180      0      0     93     22      0      -      -      0      1      2
 20260913    13:51:09       0      9     36      -      0     35      0      0      0      0    405    180      0      0     93     22      0      -      -      0      1      2
 20260913    13:51:10       0      9     36      -      0     37      0      0      0      0    405    180      0      0     93     22      0      -      -      0      1      3
 20260913    13:51:11       0     10     36      -      0     40      0      0      0      0    405    180      0      0     93     22      0      -      -      0      1      2
 20260913    13:51:12       0     29     37      -      7      0      0      0      0      0  13801   2565      0      0   1803     24      0      -      -      0   2282    179
 20260913    13:51:14       0     41     37      -      7      0      0      0      0      0  13801   2677      0      0   5725     24      0      -      -      0  16375   1097
 20260913    13:51:15       0     50     37      -      0      0      0      0      0      0  13801   2887      0      0   6405     24      0      -      -      0      0      2
 20260913    13:51:16       0     48     37      -      0      0      0      0      0      0  13801   2707      0      0   6405     24      0      -      -      0      0      0
 20260913    13:51:17       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   6405     24      0      -      -      0      0      1
 20260913    13:51:18       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   6405     24      0      -      -      0      0      0
 20260913    13:51:19       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   6405     24      0      -      -      0      0      0
 20260913    13:51:20       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   6405     24      0      -      -      0      0      0
 20260913    13:51:21       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   6405     24      0      -      -      0      0      0
 20260913    13:51:22       0     41     37      -      0      0      0      0      0      0  13801   2587      0      0   6405     24      0      -      -      0      0      0
 20260913    13:51:23       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   6405     24      0      -      -      0      0      0
 20260913    13:51:24       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   6405     24      0      -      -      0     17      0
 20260913    13:51:25       0     41     37      -      3      1      0      0      0      0  13801   2595      0      0   6645     24      0      -      -      0      5      1
 20260913    13:51:26       0     54     38      -      0      0      0      0      0      0  13801   2625      0      0   7337     24      0      -      -      0      0      0
 20260913    13:51:27       0     98     45      -     71     36      0      0      0      0  13801   2872      0      0   7647     24      0      -      -      0     60     13
 20260913    13:51:28       0    157     47      -     37     16      0      0      0      0  13801   2872      0      0   7647     24      0      -      -      0     72     12
 20260913    13:51:29       0    165     48      -     67     23      0      0      0      0  13801   2872      0      0   7647     24      0      -      -      0     70     12
 20260913    13:51:30       0    159     48      -     55     21      0      0      0      0  13801   2872      0      0   7647     24      0      -      -      0     62     12
 20260913    13:51:31       0    164     50      -     68     28      0      0      0      0  13801   2872      0      0   7647     24      0      -      -      0     44     15
 20260913    13:51:32       0    169     49      -     64     24      0      0      0      0  13801   2872      0      0   7647     24      0      -      -      0     34     10
 20260913    13:51:33       0    163     48      -     54     27      0      0      0      0  13801   2872      0      0   7647     24      0      -      -      0     34     19
 20260913    13:51:35       0    193     52      -     86     41      0      0      0      0  13801   2872      0      0   7647     24      0      -      -      0     39      8
 20260913    13:51:36       0    211     50      -     92     31      0      0      0      0  13801   2872      0      0   7647     24      0      -      -      0     86    175
 20260913    13:51:37       0    213     52      -     87     43      0      0      0      0  13801   2865      0      0   7647     24      0      -      -      0     90     16
 20260913    13:51:38       0    212     54      -     94     36      0      0      0      0  13801   2865      0      0   7647     24      0      -      -      0     43      9
 20260913    13:51:39       0    212     52      -     88     35      0      0      0      0  13801   2865      0      0   7647     24      0      -      -      0     93    177
 20260913    13:51:40       0    211     54      -     94     43      0      0      0      0  13801   2865      0      0   7647     24      0      -      -      0     86      8
 20260913    13:51:41       0    212     51      -     92     32      0      0      0      0  13801   2865      0      0   7647     24      0      -      -      0     40     21
 20260913    13:51:42       0    212     51      -     86     43      0      0      0      0  13801   2865      0      0   7647     24      0      -      -      0   2244     18
 20260913    13:51:43       0    212     54      -     94     34      0      0      0      0  13801   2865      0      0   7647     24      0      -      -      0     70      7
 20260913    13:51:44       0    212     52      -     94     41      0      0      0      0  13801   2865      0      0   7647     24      0      -      -      0     39     26
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s
 20260913    13:51:45       0    212     54      -     87     33      0      0      0      0  13801   2865      0      0   7647     24      0      -      -      0   2283     11
 20260913    13:51:46       0    212     55      -     87     41      0      0      0      0  13801   2865      0      0   7647     24      0      -      -      0     30     18
 20260913    13:51:47       0    214     48      -     94     32      0      0      0      0  13801   2865      0      0   7647     24      0      -      -      0      1   2971
 20260913    13:51:48       0     70     42      -     10      1      0      0      0      0  13801   2887      0      0   7647     24      0      -      -      0      1   3381
 20260913    13:51:49       0     45     41      -      7      0      0      0      0      0  13801   2565      0      0   7647     24      0      -      -      0      0      0
 20260913    13:51:51       0     41     41      -      0      0      0      0      0      0  13801   2565      0      0   7647     24      0      -      -      0      0      1
 20260913    13:51:52       0     41     41      -      0      0      0      0      0      0  13801   2565      0      0   7647     24      0      -      -      0      0      0
 20260913    13:51:53       0     41     41      -      0      0      0      0      0      0  13801   2565      0      0   7647     24      0      -      -      0      0      0
 20260913    13:51:54       0     41     40      -      0      0      0      0      0      0  13801   2565      0      0   7647     24      0      -      -      0      0      0
 20260913    13:51:55       0     41     40      -      0      0      0      0      0      0  13801   2565      0      0   7647     24      0      -      -      0      0      0
 20260913    13:51:56       0     40     40      -      0      0      0      0      0      0  13801   2565      0      0   7647     24      0      -      -      0      0      0
 20260913    13:51:57       0     40     40      -      0      0      0      0      0      0  13801   2565      0      0   7647     24      0      -      -      0      0      0
