#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s
 20260913    13:49:00       0     11     35      -      2      8      0      0      0      0    405    180      0      0    776     37      0      -      -      0      0      1
 20260913    13:49:01       0     11     35      -      0      0      0      0      0      0    405    300      0      0    776     37      0      -      -      0      1      0
 20260913    13:49:02       0     11     35      -      0      6      0      0      0      0    405    180      0      0    776     37      0      -      -      0      0      1
 20260913    13:49:03       0     11     35      -      0      1      0      0      0      0    405    180      0      0    776     37      0      -      -      0      0      1
 20260913    13:49:04       0     11     35      -      2     14      0      0      0      0    405    180      0      0    776     37      0      -      -      0      0      0
 20260913    13:49:05       0     11     35      -      1     14      0      0      0      0    405    180      0      0    776     37      0      -      -      0      0      0
 20260913    13:49:06       0     10     35      -      0      6      0      0      0      0    405    180      0      0    776     37      0      -      -      0      0      0
 20260913    13:49:07       0     10     35      -      0      1      0      0      0      0    405    180      0      0    776     37      0      -      -      0      0      0
 20260913    13:49:08       0     10     35      -      0      1      0      0      0      0    405    180      0      0    776     37      0      -      -      0      0      0
 20260913    13:49:09       0     10     35      -      0      1      0      0      0      0    405    180      0      0    776     37      0      -      -      0      0      0
 20260913    13:49:10       0     11     35      -      0      5      0      0      0      0    405    180      0      0    776     37      0      -      -      0      0      0
 20260913    13:49:11       0     10     35      -      0      1      0      0      0      0    405    180      0      0   1545     39      0      -      -      0   2019    141
 20260913    13:49:12       0     41     36      -      7      0      0      0      0      0  13801   2580      0      0   3245     39      0      -      -      0   2151    164
 20260913    13:49:13       0     45     37      -      0      0      0      0      0      0  13801   2782      0      0   7087     39      0      -      -      0      0      2
 20260913    13:49:14       0     49     37      -      0      0      0      0      0      0  13801   2887      0      0   7087     39      0      -      -      0      0      0
 20260913    13:49:16       0     44     37      -      0      0      0      0      0      0  13801   2565      0      0   7087     39      0      -      -      0      0      1
 20260913    13:49:17       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   7087     39      0      -      -      0      0      0
 20260913    13:49:18       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   7087     39      0      -      -      0      0      1
 20260913    13:49:19       0     40     37      -      0      0      0      0      0      0  13801   2572      0      0   7087     39      0      -      -      0      0      0
 20260913    13:49:20       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   7087     39      0      -      -      0      0      0
 20260913    13:49:21       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   7087     39      0      -      -      0      0      0
 20260913    13:49:22       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   7087     39      0      -      -      0      0      0
 20260913    13:49:23       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   7087     39      0      -      -      0      6      0
 20260913    13:49:24       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   7087     39      0      -      -      0      0      1
 20260913    13:49:25       0     40     37      -      0      0      0      0      0      0  13801   2572      0      0   7087     39      0      -      -      0      0      0
 20260913    13:49:26       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   7087     39      0      -      -      0      0      1
 20260913    13:49:27       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   7087     39      0      -      -      0      0      0
 20260913    13:49:28       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   7087     39      0      -      -      0      0      1
 20260913    13:49:29       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   7087     39      0      -      -      0      0      0
 20260913    13:49:30       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   7087     39      0      -      -      0      0      4
 20260913    13:49:31       0     40     37      -      1      0      0      0      0      0  13801   2565      0      0   7087     39      0      -      -      0      0      0
 20260913    13:49:32       0     29     36      -      0      0      0      0      0      0    810    667      0      0   7089     39      0      -      -      0     17      3
 20260913    13:49:33       0     38     37      -      0      0      0      0      0      0  13801   2572      0      0   7297     39      0      -      -      0      3      1
 20260913    13:49:34       0     42     37      -      0      0      0      0      0      0  13801   2587      0      0   7341     39      0      -      -      0      0      0
 20260913    13:49:35       0     48     38      -     28     15      0      0      0      0  13801   2610      0      0   7481     39      0      -      -      0      0      1
 20260913    13:49:37       0     45     37      -      1      0      0      0      0      0  13801   2587      0      0   8021     39      0      -      -      0      0      0
 20260913    13:49:38       0     57     37      -     18      7      0      0      0      0  13801   2625      0      0   8031     39      0      -      -      0      1      1
 20260913    13:49:39       0    105     41      -     57     19      0      0      0      0  13801   2857      0      0   8331     39      0      -      -      0      0   1247
 20260913    13:49:40       0     53     38      -      2      0      0      0      0      0  13801   2887      0      0   8331     39      0      -      -      0      0      0
 20260913    13:49:41       0     46     37      -      3      0      0      0      0      0  13801   2767      0      0   8331     39      0      -      -      0      0    168
 20260913    13:49:42       0     40     37      -      8      0      0      0      0      0  13801   2565      0      0   8331     39      0      -      -      0      0      0
 20260913    13:49:43       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   8167     39      0      -      -      0      0      0
 20260913    13:49:44       0     41     37      -      4      0      0      0      0      0  13801   2565      0      0   8177     39      0      -      -      0      0   2016
 20260913    13:49:45       0     40     37      -      4      0      0      0      0      0  13801   2565      0      0   8177     39      0      -      -      0      0   1344
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s
 20260913    13:49:46       0     40     37      -      9      0      0      0      0      0  13801   2565      0      0   8177     39      0      -      -      0      0      0
 20260913    13:49:47       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   8177     39      0      -      -      0      0      0
 20260913    13:49:48       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   8234     39      0      -      -      0      7      0
 20260913    13:49:49       0     40     37      -      0      0      0      0      0      0  13801   2572      0      0   8292     39      0      -      -      0      0      0
 20260913    13:49:50       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   8175     39      0      -      -      0      0      0
 20260913    13:49:52       0     41     37      -      2      0      0      0      0      0  13801   2580      0      0   8072     36      0      -      -      0      0    170
 20260913    13:49:53       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   8072     36      0      -      -      0      0      2
 20260913    13:49:56       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   7991     27      0      -      -      0      0      1
 20260913    13:49:58       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   7991     27      0      -      -      0      0      0
 20260913    13:49:59       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   7969     27      0      -      -      0      0      2
 20260913    13:50:04       0     40     37      -      0      0      0      0      0      0  13801   2565      0      0   7963     27      0      -      -      0      0      0
 20260913    13:50:05       0     42     38      -      1      0      0      0      0      0  13801   2580      0      0   8099     28      0      -      -      0      0      1
 20260913    13:50:06       0     42     37      -      0      0      0      0      0      0  13801   2595      0      0   8137     28      0      -      -      0      0      7
 20260913    13:50:07       0     41     37      -      0      0      0      0      0      0  13801   2587      0      0   8173     28      0      -      -      0      0      1
 20260913    13:50:08       0     41     37      -      0      0      0      0      0      0  13801   2595      0      0   8170     30      0      -      -      0      0      0
