# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
    0    128     47      -     97     12      0      0      0      0  13801   2565   5463     32      0 
    0    123     47      -     99      6      0      0      0      0  13801   2565   5463     32      0 
    0    133     49      -     87     42      0      0      0      0  13801   2565   5463     32      0 
    0    130     49      -     83     56      0      0      0      0  13801   2565   5463     32      0 
    0    130     49      -     83     56      0      0      0      0  13801   2565   5463     32      0 
    0    141     49      -     83     56      0      0      0      0  13801   2565   5463     32      0 
    0    141     51      -     88     39      0      0      0      0  13801   2565   5463     32      0 
    0    142     50      -     83     56      0      0      0      0  13801   2565   5463     32      0 
    0    142     50      -     82     56      0      0      0      0  13801   2565   5463     32      0 
    0    130     49      -     83     56      0      0      0      0  13801   2572   5463     32      0 
    0    129     49      -     83     57      0      0      0      0  13801   2572   5463     32      0 
    0    131     49      -     83     57      0      0      0      0  13801   2572   5463     32      0 
    0    131     49      -     83     57      0      0      0      0  13801   2572   5463     32      0 
    0    145     50      -     87     43      0      0      0      0  13801   2565   5463     32      0 
    0    143     50      -     83     56      0      0      0      0  13801   2565   5463     32      0 
    0    132     50      -     83     56      0      0      0      0  13801   2565   5463     32      0 
    0    142     50      -     83     56      0      0      0      0  13801   2565   5463     32      0 
    0    132     49      -     83     56      0      0      0      0  13801   2565   5463     32      0 
    0    128     49      -     94     18      0      0      0      0  13801   2565   5463     32      0 
    0    142     51      -     88     39      0      0      0      0  13801   2565   5463     32      0 
    0    142     50      -     83     56      0      0      0      0  13801   2565   5463     32      0 
    0    130     49      -     83     56      0      0      0      0  13801   2565   5463     32      0 
    0    128     49      -     83     56      0      0      0      0  13801   2565   5463     32      0 
    0    128     50      -     91     27      0      0      0      0  13801   2565   5463     32      0 
    0    139     50      -     83     57      0      0      0      0  13801   2565   5463     32      0 
    0    141     50      -     83     57      0      0      0      0  13801   2565   5463     32      0 
    0    119     50      -     93     24      0      0      0      0  13801   2565   5463     32      0 
    0    140     50      -     83     56      0      0      0      0  13801   2565   5463     32      0 
    0    133     50      -     83     57      0      0      0      0  13801   2565   5463     32      0 
    0    142     50      -     83     57      0      0      0      0  13801   2565   5463     32      0 
    0    141     50      -     84     57      0      0      0      0  13801   2565   5463     32      0 
    0    120     47      -     97     10      0      0      0      0  13801   2565   5463     32      0 
    0    137     50      -     83     57      0      0      0      0  13801   2565   5463     32      0 
    0    128     47      -     97      9      0      0      0      0  13801   2565   5463     32      0 
    0    136     50      -     87     46      0      0      0      0  13801   2565   5463     32      0 
    0    134     50      -     83     56      0      0      0      0  13801   2565   5463     32      0 
    0    123     47      -     98      4      0      0      0      0  13801   2565   5463     32      0 
    0    142     50      -     83     56      0      0      0      0  13801   2565   5463     32      0 
    0    130     50      -     83     56      0      0      0      0  13801   2565   5463     32      0 
    0    142     50      -     83     57      0      0      0      0  13801   2565   5463     32      0 
    0    142     50      -     83     56      0      0      0      0  13801   2565   5463     32      0 
    0    142     50      -     83     56      0      0      0      0  13801   2565   5463     32      0 
    0    141     50      -     83     57      0      0      0      0  13801   2565   5463     32      0 
    0    143     50      -     83     56      0      0      0      0  13801   2565   5463     32      0 
# gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
# Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
