domain,confidence_threshold,next_subtask_accuracy,mean_model_calls_per_decision,ttc_route_rate,safety_fallback_rate
symbolic_cpu,0.5,0.9831705945503808,2.2946713699026975,0.21288277695414345,0.0002726513641088561
cosmos_gpu,0.5,0.8913043478260869,1.673913043478261,0.2391304347826087,0.043478260869565216
symbolic_cpu,0.72,0.9921675289883228,3.611474672283687,0.44067363340763616,0.00027607926542465083
cosmos_gpu,0.72,0.8913043478260869,1.826086956521739,0.2608695652173913,0.043478260869565216
symbolic_cpu,0.85,0.9934969546797727,5.384589691241679,0.7377173220268506,0.00027607267868889337
cosmos_gpu,0.85,0.8913043478260869,2.6739130434782608,0.41304347826086957,0.043478260869565216
