Linux 7.0.0-31-generic (HELIOS) 	09/13/2026 	_x86_64_	(32 CPU)

01:22:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:22:11 PM  all    0.81    0.03    0.63    2.41    0.00    0.00    0.00    0.00    0.00   96.12
01:22:11 PM    0    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:22:11 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:22:11 PM    2    2.00    0.00    1.00    4.00    0.00    0.00    0.00    0.00    0.00   93.00
01:22:11 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:22:11 PM    4    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
01:22:11 PM    5    1.00    0.00    5.00   25.00    0.00    0.00    0.00    0.00    0.00   69.00
01:22:11 PM    6    2.02    0.00    2.02   22.22    0.00    0.00    0.00    0.00    0.00   73.74
01:22:11 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:22:11 PM    8    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
01:22:11 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:22:11 PM   10   11.00    0.00    3.00    9.00    0.00    0.00    0.00    0.00    0.00   77.00
01:22:11 PM   11    3.03    0.00    4.04    6.06    0.00    0.00    0.00    0.00    0.00   86.87
01:22:11 PM   12    1.00    0.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00   96.00
01:22:11 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:22:11 PM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:22:11 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:22:11 PM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:22:11 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
