method,episodes,escalations_per_episode,failure_recovery_rate,handoff_contract_rate,handoff_failure_rate,mean_actions,mean_planner_latency_ms,mean_progress,mean_recovery_decision_latency_ms,mean_recovery_latency_actions,memory_hit_rate,monitor_queries_per_failure,nominal_model_calls_per_episode,recovery_actions_per_failure,recovery_model_calls_per_failure,rollback_actions_per_episode,task_success_rate
agentchord,18000,0.0,1.0,0.5871173808890072,0.30039925472451423,10.875944444444444,4.992527973782103,0.9814814814814815,0.00871653560260941,3.8205947136563876,0.0,1.776376651982379,32.542944444444444,1.776376651982379,0.0,0.0,1.0
baton_str,18000,0.0,1.0,1.0,0.0,10.245055555555556,4.589385034446953,0.9814814814814815,0.015206322982126118,3.191498733619645,0.05589055551368056,1.4609624490694857,31.326666666666668,1.4609624490694857,0.0,0.0,1.0
doremi,18000,0.0,0.9970813370780329,0.08416401192066592,0.6628558216010687,13.127444444444444,5.987103919558245,0.9787453703703705,0.009548571409639316,5.989174859162708,0.0,8.741615727738312,36.934,2.913871909246104,2.913871909246104,0.0,0.995
inner_monologue,18000,0.0,0.9970813370780329,0.08416401192066592,0.6628558216010687,13.127444444444444,5.799813696002641,0.9787453703703705,0.009267906185364192,5.989174859162708,0.0,2.913871909246104,36.934,2.913871909246104,2.913871909246104,0.0,0.995
no_recovery,18000,0.0,0.6289238902962881,0.0,0.689912742335246,21.956555555555557,7.195842974837092,0.7813819444444444,0.005550160798634884,3.552802101576182,0.0,0.0,59.971555555555554,0.0,0.0,0.0,0.6256666666666667
rekep,18000,0.0,0.6280363536215918,0.0,0.6887426252429834,23.4425,6.616867685557281,0.7806783730158731,0.005348828196870379,5.8637081213822135,0.0,8.149820985954282,46.431,8.149820985954282,0.0,8.22,0.6240555555555556
