timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB]
2026/09/13 12:26:58.539, 0 %, 1 %, 9.32 W, 431 MiB
2026/09/13 12:26:59.555, 0 %, 0 %, 9.31 W, 431 MiB
2026/09/13 12:27:00.556, 0 %, 0 %, 9.26 W, 431 MiB
2026/09/13 12:27:01.556, 0 %, 0 %, 10.39 W, 431 MiB
2026/09/13 12:27:02.556, 0 %, 0 %, 10.37 W, 431 MiB
2026/09/13 12:27:03.558, 0 %, 0 %, 11.94 W, 4717 MiB
2026/09/13 12:27:04.559, 8 %, 0 %, 40.34 W, 4719 MiB
2026/09/13 12:27:05.559, 8 %, 0 %, 40.39 W, 5283 MiB
2026/09/13 12:27:06.559, 7 %, 0 %, 40.28 W, 5379 MiB
2026/09/13 12:27:07.559, 31 %, 17 %, 88.08 W, 5379 MiB
2026/09/13 12:27:08.560, 86 %, 49 %, 113.37 W, 5901 MiB
2026/09/13 12:27:09.560, 91 %, 42 %, 123.29 W, 5901 MiB
2026/09/13 12:27:10.560, 85 %, 49 %, 114.89 W, 5901 MiB
2026/09/13 12:27:11.560, 94 %, 32 %, 134.06 W, 5901 MiB
2026/09/13 12:27:12.560, 64 %, 32 %, 85.00 W, 5901 MiB
