timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB]
2026/09/13 12:30:05.264, 0 %, 0 %, 9.02 W, 431 MiB
2026/09/13 12:30:06.273, 0 %, 0 %, 8.78 W, 431 MiB
2026/09/13 12:30:07.273, 0 %, 0 %, 9.32 W, 431 MiB
2026/09/13 12:30:08.273, 0 %, 0 %, 9.59 W, 431 MiB
2026/09/13 12:30:09.273, 0 %, 0 %, 8.88 W, 431 MiB
2026/09/13 12:30:10.274, 0 %, 0 %, 9.29 W, 447 MiB
2026/09/13 12:30:11.274, 0 %, 0 %, 28.25 W, 659 MiB
2026/09/13 12:30:12.274, 0 %, 0 %, 40.47 W, 711 MiB
2026/09/13 12:30:13.275, 0 %, 0 %, 41.09 W, 791 MiB
2026/09/13 12:30:14.275, 0 %, 0 %, 40.34 W, 805 MiB
2026/09/13 12:30:15.275, 1 %, 0 %, 40.42 W, 773 MiB
2026/09/13 12:30:16.275, 2 %, 0 %, 40.39 W, 773 MiB
2026/09/13 12:30:17.276, 3 %, 0 %, 41.39 W, 940 MiB
2026/09/13 12:30:18.276, 0 %, 0 %, 40.31 W, 940 MiB
2026/09/13 12:30:19.276, 0 %, 0 %, 40.47 W, 2754 MiB
2026/09/13 12:30:20.276, 1 %, 0 %, 41.36 W, 3328 MiB
2026/09/13 12:30:21.277, 2 %, 0 %, 40.69 W, 3352 MiB
2026/09/13 12:30:22.277, 1 %, 0 %, 40.72 W, 3352 MiB
2026/09/13 12:30:23.277, 1 %, 0 %, 40.65 W, 3506 MiB
2026/09/13 12:30:24.277, 1 %, 0 %, 40.67 W, 3506 MiB
2026/09/13 12:30:25.277, 1 %, 0 %, 41.19 W, 4120 MiB
2026/09/13 12:30:26.278, 66 %, 1 %, 44.79 W, 4124 MiB
2026/09/13 12:30:27.278, 67 %, 1 %, 45.53 W, 4124 MiB
2026/09/13 12:30:28.278, 67 %, 1 %, 45.37 W, 4124 MiB
2026/09/13 12:30:29.278, 69 %, 1 %, 45.15 W, 4124 MiB
2026/09/13 12:30:30.279, 69 %, 1 %, 45.84 W, 4124 MiB
2026/09/13 12:30:31.279, 68 %, 1 %, 45.88 W, 4124 MiB
2026/09/13 12:30:32.279, 67 %, 1 %, 45.93 W, 4124 MiB
2026/09/13 12:30:33.279, 13 %, 0 %, 45.96 W, 4124 MiB
2026/09/13 12:30:34.279, 2 %, 0 %, 45.96 W, 4124 MiB
2026/09/13 12:30:35.279, 70 %, 1 %, 45.84 W, 4124 MiB
2026/09/13 12:30:36.280, 69 %, 1 %, 45.67 W, 4124 MiB
