timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB]
2026/09/13 12:30:37.280, 67 %, 1 %, 45.69 W, 4124 MiB
2026/09/13 12:30:38.280, 68 %, 1 %, 45.21 W, 4124 MiB
2026/09/13 12:30:39.280, 67 %, 1 %, 45.00 W, 4124 MiB
2026/09/13 12:30:40.281, 67 %, 1 %, 45.69 W, 4124 MiB
2026/09/13 12:30:41.281, 68 %, 1 %, 46.06 W, 4124 MiB
2026/09/13 12:30:42.281, 71 %, 1 %, 45.95 W, 4125 MiB
2026/09/13 12:30:43.281, 39 %, 0 %, 45.84 W, 4125 MiB
2026/09/13 12:30:44.281, 1 %, 0 %, 45.94 W, 4125 MiB
2026/09/13 12:30:45.282, 37 %, 1 %, 46.14 W, 4125 MiB
2026/09/13 12:30:46.282, 71 %, 1 %, 46.03 W, 4125 MiB
2026/09/13 12:30:47.282, 67 %, 1 %, 45.78 W, 4124 MiB
2026/09/13 12:30:48.282, 69 %, 1 %, 45.63 W, 4124 MiB
2026/09/13 12:30:49.283, 69 %, 1 %, 45.33 W, 4124 MiB
2026/09/13 12:30:50.283, 66 %, 1 %, 46.12 W, 4124 MiB
2026/09/13 12:30:51.283, 69 %, 1 %, 46.12 W, 4124 MiB
2026/09/13 12:30:52.283, 55 %, 1 %, 46.18 W, 4124 MiB
2026/09/13 12:30:53.283, 1 %, 0 %, 46.19 W, 4124 MiB
2026/09/13 12:30:54.284, 47 %, 1 %, 46.21 W, 4124 MiB
2026/09/13 12:30:55.284, 63 %, 1 %, 46.01 W, 4124 MiB
2026/09/13 12:30:56.284, 69 %, 1 %, 45.73 W, 4124 MiB
2026/09/13 12:30:57.284, 67 %, 1 %, 45.22 W, 4124 MiB
2026/09/13 12:30:58.284, 68 %, 1 %, 45.69 W, 4124 MiB
2026/09/13 12:30:59.285, 67 %, 1 %, 46.22 W, 4124 MiB
2026/09/13 12:31:00.285, 68 %, 1 %, 46.15 W, 4124 MiB
2026/09/13 12:31:01.285, 1 %, 0 %, 46.13 W, 4124 MiB
2026/09/13 12:31:02.285, 15 %, 0 %, 46.39 W, 4124 MiB
2026/09/13 12:31:03.286, 65 %, 1 %, 46.21 W, 4124 MiB
2026/09/13 12:31:04.286, 67 %, 1 %, 45.94 W, 4122 MiB
2026/09/13 12:31:05.286, 67 %, 1 %, 45.43 W, 4124 MiB
2026/09/13 12:31:06.286, 66 %, 1 %, 45.58 W, 4124 MiB
2026/09/13 12:31:07.287, 66 %, 1 %, 46.29 W, 4124 MiB
2026/09/13 12:31:08.287, 48 %, 0 %, 46.12 W, 4124 MiB
2026/09/13 12:31:09.287, 1 %, 0 %, 46.27 W, 4124 MiB
2026/09/13 12:31:10.287, 68 %, 1 %, 46.18 W, 4124 MiB
2026/09/13 12:31:11.288, 66 %, 1 %, 46.24 W, 4124 MiB
2026/09/13 12:31:12.288, 66 %, 1 %, 45.47 W, 4124 MiB
2026/09/13 12:31:13.288, 67 %, 1 %, 46.03 W, 4124 MiB
2026/09/13 12:31:14.288, 66 %, 1 %, 46.26 W, 4124 MiB
2026/09/13 12:31:15.288, 59 %, 1 %, 46.31 W, 4124 MiB
2026/09/13 12:31:16.289, 1 %, 0 %, 46.41 W, 4124 MiB
2026/09/13 12:31:17.289, 70 %, 1 %, 46.38 W, 4124 MiB
2026/09/13 12:31:18.289, 67 %, 1 %, 46.55 W, 4124 MiB
2026/09/13 12:31:19.289, 66 %, 1 %, 46.02 W, 4124 MiB
2026/09/13 12:31:20.290, 67 %, 1 %, 45.51 W, 4124 MiB
2026/09/13 12:31:21.290, 60 %, 1 %, 45.28 W, 4124 MiB
2026/09/13 12:31:22.290, 66 %, 1 %, 46.29 W, 4124 MiB
2026/09/13 12:31:23.290, 65 %, 1 %, 46.39 W, 4124 MiB
2026/09/13 12:31:24.290, 33 %, 0 %, 46.16 W, 4124 MiB
2026/09/13 12:31:25.291, 1 %, 0 %, 46.15 W, 4124 MiB
2026/09/13 12:31:26.291, 48 %, 1 %, 46.37 W, 4124 MiB
2026/09/13 12:31:27.291, 66 %, 1 %, 46.27 W, 4124 MiB
2026/09/13 12:31:28.291, 66 %, 1 %, 45.37 W, 4124 MiB
2026/09/13 12:31:29.291, 66 %, 1 %, 45.95 W, 4124 MiB
2026/09/13 12:31:30.291, 68 %, 1 %, 46.39 W, 4124 MiB
2026/09/13 12:31:31.292, 66 %, 1 %, 46.55 W, 4124 MiB
2026/09/13 12:31:32.292, 1 %, 0 %, 46.33 W, 4124 MiB
2026/09/13 12:31:33.292, 32 %, 1 %, 46.40 W, 4124 MiB
2026/09/13 12:31:34.292, 66 %, 1 %, 46.56 W, 4124 MiB
2026/09/13 12:31:35.292, 65 %, 1 %, 46.18 W, 4124 MiB
2026/09/13 12:31:36.293, 65 %, 1 %, 45.74 W, 4124 MiB
2026/09/13 12:31:37.293, 68 %, 1 %, 45.95 W, 4124 MiB
2026/09/13 12:31:38.293, 65 %, 1 %, 46.35 W, 4124 MiB
2026/09/13 12:31:39.293, 67 %, 1 %, 46.63 W, 4124 MiB
2026/09/13 12:31:40.293, 2 %, 0 %, 46.49 W, 4124 MiB
2026/09/13 12:31:41.294, 11 %, 0 %, 46.48 W, 4124 MiB
2026/09/13 12:31:42.294, 66 %, 1 %, 46.60 W, 4125 MiB
2026/09/13 12:31:43.294, 65 %, 1 %, 46.37 W, 4125 MiB
2026/09/13 12:31:44.294, 64 %, 1 %, 45.71 W, 4125 MiB
2026/09/13 12:31:45.294, 67 %, 1 %, 46.03 W, 4125 MiB
2026/09/13 12:31:46.295, 65 %, 1 %, 46.56 W, 4125 MiB
2026/09/13 12:31:47.295, 72 %, 1 %, 46.36 W, 4124 MiB
2026/09/13 12:31:48.295, 44 %, 0 %, 46.57 W, 4124 MiB
2026/09/13 12:31:49.295, 1 %, 0 %, 46.41 W, 4124 MiB
2026/09/13 12:31:50.295, 26 %, 0 %, 46.43 W, 4124 MiB
2026/09/13 12:31:51.296, 66 %, 1 %, 46.49 W, 4124 MiB
2026/09/13 12:31:52.296, 65 %, 1 %, 46.49 W, 4124 MiB
2026/09/13 12:31:53.296, 66 %, 1 %, 46.42 W, 4124 MiB
2026/09/13 12:31:54.296, 69 %, 1 %, 45.82 W, 4124 MiB
2026/09/13 12:31:55.296, 70 %, 1 %, 45.55 W, 4124 MiB
2026/09/13 12:31:56.297, 1 %, 0 %, 41.22 W, 4124 MiB
2026/09/13 12:31:57.297, 1 %, 0 %, 40.78 W, 4124 MiB
