condition,st_rt_mean_mse,st_rt_sample_std_mse,str_rt_mean_mse,str_rt_sample_std_mse,mean_mse_reduction,mean_reduction_percent,bootstrap_95_ci_low,bootstrap_95_ci_high
clean,0.10080878495696992,0.00011960135315851487,0.10023302904197147,2.435348446217518e-05,0.000575755914998433,0.5711366477080282,0.00042900277212971736,0.0007212956391629717
vision_noise,0.10080860744393061,0.0001222241231139704,0.10034946925819867,1.967911917807701e-05,0.0004591381857319483,0.4554553399493385,0.00031097088127382213,0.000610069136711813
occlusion,0.10079339714277358,0.00012261280157764963,0.10003563495618957,3.675488644593793e-05,0.0007577621865840186,0.7517974471191307,0.0006025942692917491,0.0009097779332290562
state_noise,0.10080791714172514,0.00011983267911426947,0.10023057324782252,2.5354085911507673e-05,0.0005773438939026424,0.5727168165680465,0.0004303644233871074,0.0007232619493844963
combined,0.1007763102414116,0.00012427650703126822,0.1002070237365034,2.5415998515130615e-05,0.0005692865049082136,0.5649011196624253,0.0004139210718373458,0.0007216369378424825
