method,episodes,generated_tokens,hallucinated_candidates_per_decision,injected_failure_recovery_rate,mean_model_calls_per_decision,mean_planner_latency_ms,mean_progress,mean_search_nodes_per_decision,mean_steps,next_subtask_accuracy,p95_episode_mean_latency_ms,repeated_action_rate,safety_fallback_rate,task_success_rate,ttc_route_rate,valid_selection_rate
adaptive_ttc,6000,6691992,0.0,1.0,3.1257966667802735,0.4449633091153677,1.0,9.154527793872056,9.780333333333333,0.9971882348931529,1.1272830000052636,0.06238710337070993,0.0,1.0,0.34865887324903716,1.0
best_of_n,6000,2817024,0.0,1.0,1.0,0.26400661753402466,1.0,4.0,9.781333333333333,0.9826540348964014,0.5378396363911716,0.06231256815703381,0.0,1.0,0.0,1.0
plan_once,6000,704208,0.0,1.0,1.0,0.029804091007837413,1.0,1.0,9.780666666666667,0.9697191738804444,0.07746845453353175,0.06173744121055143,0.09225683320837025,1.0,0.0,1.0
recursive,6000,1896168,0.0,1.0,2.6926249062776906,0.05174848676540998,1.0,2.6926249062776906,9.780666666666667,0.9697191738804444,0.09744790912174556,0.06173744121055143,0.09225683320837025,1.0,0.0,1.0
ttc,6000,17076144,0.0,1.0,6.062180492127326,1.2790275868246397,1.0,24.248721968509305,9.780666666666667,0.9968304819030741,2.2431429091408392,0.06248721968509304,0.0,1.0,1.0,1.0
