trajectory_id,condition,frames,mse,mae,rmse,p95_absolute_error,within_0_1_rate,mean_inference_ms,p95_inference_ms
0,clean,120,0.09225457906723022,0.17978021502494812,0.3037343919277191,0.699999988079071,0.5447674418604651,159.94843500023612,344.25398390039845
1,clean,120,0.10581102222204208,0.19334246218204498,0.32528606057167053,0.7212677776813508,0.5284883720930232,51.27026466713384,52.808572700632794
2,clean,120,0.11054401099681854,0.19178450107574463,0.33248159289360046,0.7812523871660234,0.5383720930232558,51.24028266648869,52.74108190005791
3,clean,120,0.09333447366952896,0.18217965960502625,0.3055069148540497,0.699999988079071,0.5397286821705426,51.377394666815235,53.18676750039231
4,clean,120,0.1020580306649208,0.1862713098526001,0.3194652199745178,0.7509419888257981,0.5436046511627907,51.657431999956316,53.50204839987782
5,clean,120,0.10874030739068985,0.18938873708248138,0.329757958650589,0.7496045589447022,0.5538759689922481,52.13326066677837,53.29206720043658
6,clean,120,0.11351578682661057,0.19704370200634003,0.3369210362434387,0.7822312414646155,0.537015503875969,51.36386833297971,52.97884129986414
7,clean,120,0.10866637527942657,0.19145363569259644,0.3296458423137665,0.7525720953941349,0.5406976744186046,51.02803166664671,51.496050099922286
8,clean,120,0.10667383670806885,0.18964426219463348,0.32660961151123047,0.7446861594915406,0.5436046511627907,51.286924999961535,52.87823389971891
9,clean,120,0.10137120634317398,0.1914895623922348,0.3183884620666504,0.7037067204713824,0.5302325581395348,52.055314333301794,54.22444749974602
10,clean,120,0.09616577625274658,0.1842569261789322,0.3101060688495636,0.699999988079071,0.5377906976744186,50.759203000173635,51.48689200013905
11,clean,120,0.09497927874326706,0.18328668177127838,0.3081870973110199,0.699999988079071,0.5443798449612403,51.34955933317542,53.2517829002245
12,clean,120,0.09645378589630127,0.18545523285865784,0.31057009100914,0.699999988079071,0.5381782945736434,51.82158566670599,53.19070180030394
13,clean,120,0.10207538306713104,0.18908092379570007,0.319492369890213,0.7583621680736542,0.5381782945736434,52.217480667119766,52.94935680030903
14,clean,120,0.09607771039009094,0.18323159217834473,0.30996406078338623,0.699999988079071,0.5468992248062016,51.364581333473325,53.02025869987119
15,clean,120,0.09650325775146484,0.18450447916984558,0.31064972281455994,0.7037987649440769,0.5319767441860465,51.444561000304624,53.171739099980186
16,clean,120,0.10517720133066177,0.19136874377727509,0.3243103325366974,0.7519202798604966,0.5381782945736434,51.48849666663106,53.284211099980894
17,clean,120,0.11151132732629776,0.19804798066616058,0.33393311500549316,0.778921213746071,0.5329457364341085,51.198163666413166,52.669070799856854
18,clean,120,0.09663889557123184,0.18404966592788696,0.31086796522140503,0.7171487927436831,0.5434108527131783,51.577300666394876,53.486271699330246
19,clean,120,0.09036999940872192,0.18161582946777344,0.3006160259246826,0.6937554985284805,0.5372093023255814,52.99216766676788,53.33644020038264
20,clean,120,0.09852251410484314,0.18816833198070526,0.313882976770401,0.7046039879322064,0.5323643410852713,51.14108633309419,52.392519699424156
21,clean,120,0.1004006415605545,0.18700125813484192,0.3168606162071228,0.7453203886747362,0.5385658914728683,51.159501999791246,52.45352339961755
22,clean,120,0.09438079595565796,0.18257592618465424,0.3072145879268646,0.699999988079071,0.5437984496124031,51.54721333322717,53.32511420019728
23,clean,120,0.10582824051380157,0.19363857805728912,0.3253125250339508,0.7062140375375748,0.5265503875968992,51.84512099973896,53.429584599598456
24,clean,120,0.10488579422235489,0.1888606995344162,0.323860764503479,0.7608145594596866,0.549031007751938,50.72893766676619,51.480780000383675
25,clean,120,0.09216140955686569,0.17990411818027496,0.30358096957206726,0.699999988079071,0.5424418604651163,51.108103999771025,52.460044599865796
26,clean,120,0.09187629818916321,0.18010000884532928,0.3031110465526581,0.699999988079071,0.5385658914728683,51.166524333590736,51.83706020015961
27,clean,120,0.095009446144104,0.18386630713939667,0.3082360327243805,0.699999988079071,0.5430232558139535,51.213239333568104,52.63773380029306
28,clean,120,0.09751316159963608,0.1867324262857437,0.31227096915245056,0.699999988079071,0.5329457364341085,51.16456633307583,52.578277599786816
29,clean,120,0.09785055369138718,0.186775803565979,0.3128107190132141,0.702976256608963,0.5352713178294574,51.28468533348496,53.03594420047375
30,clean,120,0.10923660546541214,0.19443480670452118,0.33050960302352905,0.740822070837021,0.5335271317829458,51.243988333529465,52.71815410005729
31,clean,119,0.10816507786512375,0.19603683054447174,0.3288846015930176,0.7222954511642454,0.5237443814735196,51.28834333360525,52.71072669993373
32,clean,120,0.10232069343328476,0.1914326399564743,0.3198760449886322,0.7038203120231632,0.5153100775193798,51.18993033344547,52.54135090035561
33,clean,120,0.10009545832872391,0.19496093690395355,0.316378653049469,0.699999988079071,0.5122093023255814,52.145501999802946,53.31733209968661
34,clean,120,0.09960512816905975,0.1863725334405899,0.3156028091907501,0.7204495549201967,0.539922480620155,51.553652666977236,53.473841800132504
35,clean,120,0.09217929095029831,0.18218033015727997,0.3036104142665863,0.6868574053049092,0.5356589147286822,51.18520433309944,52.6479340996957
36,clean,120,0.09720732271671295,0.1837075650691986,0.3117808997631073,0.7398255497217182,0.5519379844961241,51.42163533340257,52.98068129977764
37,clean,120,0.09638545662164688,0.18387450277805328,0.31046006083488464,0.699999988079071,0.5420542635658915,51.19517299984485,52.67980679991524
38,clean,120,0.112469881772995,0.19669730961322784,0.33536529541015625,0.7819101721048357,0.5346899224806202,51.5339816671864,53.47363680048147
39,clean,120,0.10697385668754578,0.19227632880210876,0.327068567276001,0.7360001593828205,0.5387596899224806,51.3552366667985,53.040836099899025
40,clean,120,0.10097984969615936,0.18991690874099731,0.3177732825279236,0.7125070631504059,0.5310077519379846,51.74311366621017,52.560726299270755
41,clean,120,0.104413241147995,0.18878045678138733,0.32313036918640137,0.7506136059761047,0.548062015503876,51.75732833352716,53.635292700528225
