timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB]
2026/09/13 12:41:34.052, 0 %, 0 %, 9.23 W, 444 MiB
2026/09/13 12:41:35.065, 0 %, 0 %, 9.46 W, 444 MiB
2026/09/13 12:41:36.065, 0 %, 0 %, 10.30 W, 444 MiB
2026/09/13 12:41:37.065, 0 %, 0 %, 19.10 W, 704 MiB
2026/09/13 12:41:38.065, 0 %, 0 %, 41.42 W, 804 MiB
2026/09/13 12:41:39.065, 1 %, 0 %, 40.40 W, 786 MiB
2026/09/13 12:41:40.066, 2 %, 0 %, 40.46 W, 786 MiB
2026/09/13 12:41:41.066, 3 %, 0 %, 41.03 W, 931 MiB
2026/09/13 12:41:42.073, 0 %, 0 %, 41.20 W, 953 MiB
2026/09/13 12:41:43.073, 0 %, 0 %, 40.49 W, 2767 MiB
2026/09/13 12:41:44.074, 1 %, 0 %, 41.84 W, 3365 MiB
2026/09/13 12:41:45.074, 1 %, 0 %, 40.81 W, 3365 MiB
2026/09/13 12:41:46.074, 1 %, 0 %, 40.77 W, 3365 MiB
2026/09/13 12:41:47.074, 1 %, 0 %, 40.79 W, 3519 MiB
2026/09/13 12:41:48.074, 1 %, 0 %, 40.98 W, 4133 MiB
2026/09/13 12:41:49.075, 64 %, 1 %, 45.22 W, 4137 MiB
2026/09/13 12:41:50.075, 69 %, 1 %, 46.27 W, 4137 MiB
2026/09/13 12:41:51.075, 68 %, 1 %, 45.70 W, 4137 MiB
2026/09/13 12:41:52.075, 16 %, 0 %, 45.47 W, 4137 MiB
2026/09/13 12:41:53.075, 1 %, 0 %, 46.34 W, 4137 MiB
2026/09/13 12:41:54.075, 51 %, 1 %, 46.42 W, 4137 MiB
2026/09/13 12:41:55.075, 68 %, 1 %, 46.24 W, 4137 MiB
2026/09/13 12:41:56.076, 67 %, 1 %, 46.50 W, 4137 MiB
2026/09/13 12:41:57.076, 71 %, 1 %, 46.29 W, 4137 MiB
2026/09/13 12:41:58.076, 64 %, 1 %, 48.66 W, 4157 MiB
2026/09/13 12:41:59.076, 68 %, 1 %, 56.57 W, 4157 MiB
2026/09/13 12:42:00.076, 64 %, 1 %, 56.77 W, 4157 MiB
2026/09/13 12:42:01.076, 55 %, 1 %, 55.97 W, 4157 MiB
2026/09/13 12:42:02.076, 1 %, 0 %, 55.79 W, 4157 MiB
2026/09/13 12:42:03.076, 46 %, 1 %, 56.62 W, 4157 MiB
2026/09/13 12:42:04.077, 64 %, 1 %, 56.71 W, 4157 MiB
2026/09/13 12:42:05.077, 64 %, 1 %, 56.64 W, 4157 MiB
2026/09/13 12:42:06.077, 64 %, 1 %, 57.00 W, 4163 MiB
2026/09/13 12:42:07.077, 65 %, 1 %, 56.92 W, 4163 MiB
2026/09/13 12:42:08.077, 63 %, 1 %, 56.79 W, 4163 MiB
2026/09/13 12:42:09.077, 67 %, 1 %, 56.46 W, 4166 MiB
2026/09/13 12:42:10.077, 52 %, 1 %, 56.38 W, 4166 MiB
2026/09/13 12:42:11.078, 2 %, 1 %, 56.35 W, 4215 MiB
2026/09/13 12:42:12.078, 8 %, 1 %, 57.90 W, 4202 MiB
2026/09/13 12:42:13.078, 4 %, 1 %, 57.76 W, 4201 MiB
2026/09/13 12:42:14.078, 63 %, 1 %, 57.00 W, 4205 MiB
2026/09/13 12:42:15.078, 61 %, 2 %, 57.13 W, 4205 MiB
2026/09/13 12:42:16.078, 60 %, 1 %, 57.88 W, 4203 MiB
2026/09/13 12:42:17.078, 65 %, 1 %, 56.97 W, 4202 MiB
2026/09/13 12:42:18.079, 60 %, 2 %, 57.44 W, 4200 MiB
2026/09/13 12:42:19.079, 64 %, 1 %, 56.87 W, 4190 MiB
2026/09/13 12:42:20.079, 1 %, 0 %, 55.92 W, 4187 MiB
2026/09/13 12:42:21.079, 44 %, 1 %, 55.96 W, 4188 MiB
2026/09/13 12:42:22.079, 65 %, 1 %, 56.79 W, 4187 MiB
2026/09/13 12:42:23.079, 65 %, 1 %, 56.96 W, 4188 MiB
2026/09/13 12:42:24.080, 65 %, 1 %, 56.82 W, 4191 MiB
2026/09/13 12:42:25.080, 63 %, 1 %, 56.86 W, 4191 MiB
2026/09/13 12:42:26.080, 64 %, 1 %, 56.81 W, 4191 MiB
2026/09/13 12:42:27.080, 3 %, 1 %, 56.34 W, 4191 MiB
2026/09/13 12:42:28.080, 46 %, 1 %, 56.10 W, 4190 MiB
2026/09/13 12:42:29.080, 67 %, 1 %, 56.70 W, 4188 MiB
2026/09/13 12:42:30.080, 63 %, 1 %, 56.69 W, 4188 MiB
2026/09/13 12:42:31.080, 64 %, 1 %, 56.75 W, 4188 MiB
2026/09/13 12:42:32.081, 66 %, 1 %, 56.91 W, 4188 MiB
2026/09/13 12:42:33.081, 7 %, 0 %, 56.26 W, 4188 MiB
2026/09/13 12:42:34.081, 44 %, 1 %, 56.21 W, 4188 MiB
2026/09/13 12:42:35.081, 63 %, 1 %, 56.64 W, 4188 MiB
2026/09/13 12:42:36.081, 64 %, 1 %, 56.85 W, 4188 MiB
2026/09/13 12:42:37.081, 69 %, 2 %, 57.33 W, 4188 MiB
2026/09/13 12:42:38.081, 64 %, 1 %, 57.53 W, 4188 MiB
2026/09/13 12:42:39.081, 66 %, 1 %, 57.11 W, 4188 MiB
2026/09/13 12:42:40.082, 4 %, 0 %, 56.71 W, 4188 MiB
2026/09/13 12:42:41.082, 18 %, 1 %, 56.58 W, 4188 MiB
2026/09/13 12:42:42.082, 66 %, 1 %, 56.96 W, 4188 MiB
2026/09/13 12:42:43.082, 63 %, 1 %, 57.08 W, 4189 MiB
2026/09/13 12:42:44.082, 64 %, 1 %, 57.01 W, 4188 MiB
2026/09/13 12:42:45.082, 61 %, 1 %, 56.72 W, 4188 MiB
2026/09/13 12:42:46.082, 63 %, 1 %, 56.92 W, 4188 MiB
2026/09/13 12:42:47.083, 42 %, 1 %, 56.68 W, 4188 MiB
2026/09/13 12:42:48.083, 3 %, 1 %, 56.14 W, 4193 MiB
2026/09/13 12:42:49.083, 43 %, 1 %, 57.31 W, 4202 MiB
2026/09/13 12:42:50.083, 63 %, 2 %, 57.78 W, 4208 MiB
2026/09/13 12:42:51.083, 63 %, 1 %, 57.13 W, 4206 MiB
2026/09/13 12:42:52.083, 62 %, 1 %, 57.14 W, 4206 MiB
2026/09/13 12:42:53.084, 63 %, 1 %, 57.36 W, 4205 MiB
2026/09/13 12:42:54.084, 65 %, 1 %, 56.94 W, 4195 MiB
2026/09/13 12:42:55.084, 24 %, 1 %, 57.63 W, 4195 MiB
2026/09/13 12:42:56.084, 4 %, 1 %, 57.24 W, 4194 MiB
2026/09/13 12:42:57.084, 59 %, 1 %, 57.20 W, 4190 MiB
2026/09/13 12:42:58.084, 65 %, 1 %, 56.98 W, 4189 MiB
2026/09/13 12:42:59.084, 65 %, 1 %, 56.84 W, 4189 MiB
2026/09/13 12:43:00.084, 61 %, 1 %, 57.15 W, 4185 MiB
2026/09/13 12:43:01.085, 67 %, 1 %, 56.90 W, 4185 MiB
2026/09/13 12:43:02.085, 2 %, 0 %, 56.24 W, 4183 MiB
2026/09/13 12:43:03.085, 22 %, 1 %, 55.97 W, 4183 MiB
2026/09/13 12:43:04.085, 66 %, 1 %, 56.95 W, 4183 MiB
2026/09/13 12:43:05.085, 63 %, 1 %, 57.09 W, 4183 MiB
2026/09/13 12:43:06.085, 64 %, 1 %, 56.76 W, 4179 MiB
2026/09/13 12:43:07.086, 66 %, 1 %, 56.87 W, 4179 MiB
2026/09/13 12:43:08.086, 63 %, 1 %, 56.95 W, 4179 MiB
2026/09/13 12:43:09.086, 27 %, 1 %, 56.61 W, 4179 MiB
2026/09/13 12:43:10.086, 1 %, 0 %, 56.89 W, 4210 MiB
2026/09/13 12:43:11.086, 3 %, 0 %, 56.64 W, 4219 MiB
2026/09/13 12:43:12.086, 63 %, 1 %, 57.04 W, 4218 MiB
2026/09/13 12:43:13.086, 66 %, 2 %, 57.64 W, 4240 MiB
2026/09/13 12:43:14.087, 67 %, 1 %, 57.54 W, 4243 MiB
2026/09/13 12:43:15.087, 65 %, 1 %, 56.95 W, 4243 MiB
2026/09/13 12:43:16.087, 66 %, 1 %, 57.57 W, 4243 MiB
2026/09/13 12:43:17.087, 68 %, 1 %, 57.54 W, 4243 MiB
2026/09/13 12:43:18.087, 1 %, 0 %, 54.95 W, 4241 MiB
2026/09/13 12:43:19.087, 1 %, 0 %, 52.21 W, 4233 MiB
